,Teams,Opponent xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,87.1758137295788,38,0.0,175.41548997458352,141.9733030818681,,115.59935737976787,50.74141298104539,70.0125829106516,42.870739681242355,55.39522112211223,,162.6811607142858,46.96278160919542,,40.68643558951966,,,35.408602388323764,67.27568716350244,,154.63278418451407,79.39124183006538,59.03964356435645,61.09635245901641,,108.89605541972294,61.093222683264194,106.19615321923395,80.61517870722437,,105.43605596521085,40.059183250414605,110.9968408960368,234.0082226562501,63.17793216183083,151.58926339285722,81.86056198813897,,91.16775382096073,31.73160919540231,145.27526996197724,72.54820193637623,65.62200819672132,90.93905882352945,34.18761609907122,150.9791584018136,44.180795481289735,82.93798283261805
2,Arsenal,115.81506821295515,38,0.0,,92.38253594771246,,107.58816718441122,111.86538679512614,,133.62193231234644,136.69841122732694,192.92818390804604,144.3336324619587,210.9667030567686,,126.85353245261349,146.51835471030523,,93.63872088271356,116.94916450929635,146.50215588723057,35.7405580357143,106.3529098360656,85.52788296041311,144.50277343750005,,138.49031923714765,61.3011254752852,,152.99445802770992,,68.05796259563618,116.94365998305568,77.5523995317987,131.09587367450442,90.82115711854797,90.93905882352945,168.8121609195403,,227.27924564426584,83.63322871179042,80.99706601466995,85.19193359375004,108.32664638783274,64.4905942622951,147.79123416428286,61.073452577076985,92.43247767857147,219.77753206545785
3,Newcastle,117.63327102987104,38,0.0,,30.810825892857157,39.76084439423893,130.02487076392882,101.31494389438947,,114.23379310344832,109.87661691542291,76.49722901385496,182.157643442623,169.30548828125006,80.78374951229031,45.34603802281371,73.61733333333336,,101.82203780544033,97.95501125380646,,,104.72989901746728,,159.83052482937168,,91.55491611392902,69.59621848739498,,49.639803841438514,,159.62570297029708,103.59705150296769,173.77305803571437,58.459595386651564,244.96802298850585,83.724631147541,227.69175224123887,27.46915422885573,126.80095817490499,127.24871093750005,72.20335104209238,105.25424805836671,272.2799425033172,252.40659115720533,150.1875057630245,233.191407387793,155.92487997740756,66.39994771241832
4,Brighton,118.7557098967407,38,0.0,97.22400370713626,62.19395402298853,207.30298951544356,83.09283168316834,180.83859867330023,100.76897338403046,95.4581604426003,196.31288888888895,,73.07449423331445,85.49690301548496,137.7401270887268,138.03250000000006,,111.10975232198146,125.79641968217504,54.93294966835741,,,56.40886800163467,,89.13199911543568,,122.14690515415397,131.87033482142863,,58.01584334061137,,129.33393449419572,193.15438943894395,191.65891954022996,113.14139344262298,160.36970954356852,196.25721308375884,121.34725274725278,25.982588235294127,115.38654296875005,68.39752241238797,172.54062500000006,,110.91897321428576,107.17684920310587,131.08198353436728,193.88099882949675,38.33149617455371,236.8070874524716
5,Liverpool,119.41490362643631,38,0.0,,93.90735655737707,,105.98924107142862,40.97839843750002,112.81773600326935,106.19615321923395,78.62951619196257,163.1129150326798,90.91169825770633,88.19502310231026,122.13879750425417,167.40072818747524,,,77.96610967286423,71.37802281368825,54.72934532042417,41.51353383458648,112.6476622272599,,51.504664179104495,,113.27701705855236,121.09487615806395,,187.10985597288908,,196.26496093750006,119.54600446428577,212.7058196721312,176.42774712643686,173.6937082314589,169.13804327015131,209.30418300653602,122.79129925868128,182.75188666754937,187.3233135313532,104.46966958486307,,199.15136815920405,26.597364692547476,64.97175806072019,132.67914828897344,90.35298540468823,168.09842664487132
6,Chelsea,133.5568946243971,38,0.0,234.2878631178708,84.79687541374291,,121.2520784313726,142.93786773358443,,183.678891089109,70.09462890625002,,180.87286077379278,134.91420009220843,49.72786572052403,44.125143442622964,120.17754975124382,,170.0757589285715,102.53993873252924,,83.69696821515896,101.5411494252874,,146.48786578228643,,108.30502656313857,106.23680403930135,,164.83314904909338,104.9204944830405,104.53407917383824,249.72154248366022,110.45198870322433,126.72862000566738,111.5193267326733,194.90609997175946,106.6471634980989,166.07035156250006,251.173893442623,108.18591516828035,86.69002653693059,,105.55743269605934,173.88921839080467,239.09200892857154,184.994734826728,152.99445802770992,146.50215588723057
7,Aston Villa,135.69240414747077,38,0.0,,140.89561954148476,,62.997718011409965,68.72987551867222,,142.7560456273765,36.10167552104619,160.67845703125008,51.63017852082745,85.16515032679742,104.75680803571433,253.67288712422018,155.93221934572847,,159.41326570425286,19.535780628040698,,195.71772388059708,142.86135973597365,,168.8627432808156,,158.98386160714293,125.65717241379315,,181.82339651541267,,157.8241585984325,67.49755501222496,168.7733624454149,84.19943518780009,113.36509505703427,190.09293000850107,167.14873046875007,273.0189211279118,107.52389865759127,103.93035294117651,95.14014933946012,90.11777011494256,148.3945319740501,266.7717227722773,82.93798283261805,244.1972578505087,260.95696517412944,118.24859967051076
8,Crystal Palace,143.60796041351816,38,0.0,,133.12492848385784,,63.67232289950579,76.49722901385496,,136.7938158408116,112.00424158598436,97.28658789386404,128.19570114942533,167.0238177292744,,62.8540848214286,131.19920792079213,95.11417678621862,98.68601880047666,93.90735655737707,,73.83834606986902,135.87574218750007,,148.12863597853718,,133.51888973384035,176.0119722300936,104.96768060836506,176.42270750614492,,169.1938712306439,111.75142386443873,434.348283612587,125.58250980392161,46.316016387046446,220.8520000000001,161.38128109452742,147.64195481788846,255.11363839285724,160.68114110664376,167.02741539043305,,322.2974780391047,132.64060546875004,182.0208791208792,124.45553278688529,226.03575327510924,124.63924752475252
9,Man Utd,146.4850752903933,38,0.0,151.36859519757996,154.63278418451407,,75.09375288151224,152.95056574326966,139.55276757977978,67.8848360655738,178.19354523227392,,62.0695163398693,80.11836650082921,60.389218750000026,230.77125247945602,,,165.004367816092,204.93908296943238,,,154.05412946428578,,176.53783266322043,94.08303656902167,141.63440955329506,203.35877227722779,125.76158779301198,69.44571693366876,,129.94351612144038,194.73464730290462,180.43464052287587,270.7625664078464,82.59321721311478,188.4954155286774,80.3819436566459,110.69599022004894,86.05029753471241,180.83859867330023,267.5487620812923,,157.43904950495056,83.80544642857147,269.0840459770116,215.4874181222708,218.91091796875008,161.38225077661684
10,West Ham,150.29640834017732,38,0.0,,121.56796860042127,,344.0028710937501,128.48044106463882,133.04337349397593,224.66147722246802,130.34728438864633,200.1130148270182,120.99482508250829,154.560298324479,153.32598469821485,97.73335632183912,,,193.4717827868853,189.4487291725502,,114.03469281045756,140.3949144254279,,116.91919077330313,,63.36431000283369,101.86478026534,,155.2786076532965,,220.93656902163517,163.91359375000008,160.35458745874593,122.01087053571433,246.6392304290138,151.9932015209126,114.35029418686754,209.45979803493455,176.42774712643686,111.68955864323665,198.55297372060863,90.41929933665011,157.63212327472118,163.79406682966592,101.82725409836068,109.92704038407233,209.30418300653602,118.423222560572
