,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW3,Creativity GW2,Creativity GW1
301,Jacob Murphy,Newcastle,0.09999999999999999,0.3,3,1,0.3,0.0,0.0
302,Edward Nketiah,Arsenal,0.06666666666666667,0.06666666666666667,3,3,0.1,0.1,0.0
303,Jonny Evans,Leicester,0.06666666666666667,0.2,3,1,0.2,0.0,0.0
304,Odion Ighalo,Man Utd,0.05,0.1,2,1,0.0,0.1,
305,Matt Phillips,West Brom,0.03333333333333333,0.05,3,2,0.0,0.1,0.0
306,Fikayo Tomori,Chelsea,0.03333333333333333,0.1,3,1,0.0,0.1,0.0
307,Mario Lemina,Fulham,0.03333333333333333,0.1,3,1,0.0,0.1,0.0
308,Sam Field,West Brom,0.03333333333333333,0.05,3,2,0.0,0.1,0.0
309,Michael Obafemi,Southampton,0.03333333333333333,0.1,3,1,0.1,0.0,0.0
310,Pascal Struijk,Leeds,0.03333333333333333,0.1,3,1,0.0,0.0,0.1
311,Wes Foderingham,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
312,Cedric Kipre,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
313,Simon Moore,Sheffield Utd,0.0,0.0,3,0,0.0,0.0,0.0
314,Matthew Longstaff,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
315,Kelland Watts,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
316,Yoshinori Muto,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
317,Rolando Aarons,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
318,DeAndre Yedlin,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
319,Fabian Schar,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
320,Emil Krafth,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
321,Mark Gillespie,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
322,Yan Valery,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
323,Leonardo Campana,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
324,Bruno Andre Cavaco Jordao,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
325,Ryan Sessegnon,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
326,Paul Dummett,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
327,Gedson Carvalho Fernandes,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
328,Japhet Tanganga,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
329,Jack Wilshere,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
330,Oliver Skipp,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
331,Roberto Jimenez Gago,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
332,Juan Foyth,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
333,Joe Hart,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
334,Cameron Carter-Vickers,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
335,Sergio Reguilon,Spurs,0.0,0.0,3,0,0.0,,
336,Gareth Bale,Spurs,0.0,0.0,3,0,0.0,,
337,David Button,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
338,Lukasz Fabianski,West Ham,0.0,0.0,3,3,0.0,0.0,0.0
339,Kamil Grosicki,West Brom,0.0,0.0,3,0,0.0,0.0,0.0
