,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW3,Creativity GW2,Creativity GW1
546,Barry Douglas,Leeds,0.0,0.0,3,0,0.0,0.0,0.0
547,Matty James,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
548,Francisco Casilla Cortes,Leeds,0.0,0.0,3,0,0.0,0.0,0.0
549,Cengiz Under,Leicester,0.0,0.0,3,0,0.0,,
550,Luke Thomas,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
551,Filip Benkovic,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
552,Hamza Choudhury,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
553,Demarai Gray,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
554,Ricardo Domingos Barbosa Pereira,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
555,Danny Ward,Leicester,0.0,0.0,3,0,0.0,0.0,0.0
556,Meritan Shabani,Wolves,0.0,0.0,3,0,0.0,,
