,Teams,Threat allowed av,Matches,Threat allowed GW6,Threat allowed GW5,Threat allowed GW4,Threat allowed GW3,Threat allowed GW2,Threat allowed GW1
1,Brighton,101.16666666666667,6,78.0,29.0,184.0,123.0,43.0,150.0
2,Southampton,124.83333333333333,6,95.0,223.0,66.0,124.0,164.0,77.0
3,Man City,127.2,5,56.0,120.0,245.0,123.0,92.0,
4,Arsenal,130.66666666666666,6,58.0,193.0,70.0,268.0,156.0,39.0
5,Liverpool,131.5,6,164.0,118.0,268.0,68.0,73.0,98.0
6,Spurs,133.5,6,122.0,195.0,63.0,86.0,175.0,160.0
7,Chelsea,138.5,6,148.0,177.0,51.0,105.0,227.0,123.0
8,Wolves,140.5,6,68.0,178.0,104.0,179.0,186.0,128.0
9,West Ham,142.5,6,195.0,145.0,70.0,128.0,137.0,180.0
10,Leicester,150.16666666666666,6,171.0,140.0,193.0,147.0,180.0,70.0
11,Burnley,162.0,5,169.0,173.0,139.0,59.0,270.0,
12,Everton,167.66666666666666,6,142.0,279.0,176.0,139.0,83.0,187.0
13,Sheffield Utd,170.83333333333334,6,237.0,156.0,127.0,181.0,213.0,111.0
14,Man Utd,175.4,5,87.0,106.0,311.0,206.0,167.0,
15,Crystal Palace,183.33333333333334,6,160.0,245.0,207.0,145.0,206.0,137.0
16,Fulham,188.33333333333334,6,276.0,119.0,165.0,191.0,147.0,232.0
17,West Brom,193.66666666666666,6,77.0,118.0,156.0,287.0,313.0,211.0
18,Aston Villa,193.8,5,324.0,151.0,264.0,174.0,56.0,
19,Leeds,202.33333333333334,6,154.0,102.0,248.0,182.0,143.0,385.0
20,Newcastle,222.0,6,119.0,367.0,133.0,365.0,139.0,209.0
