id,Teams,XXX Target number XXX,Matches
1,Arsenal,0.0,38
2,Aston Villa,0.0,38
3,Bournemouth,0.0,38
4,Brentford,0.0,38
5,Brighton,0.0,38
6,Chelsea,0.0,38
7,Crystal Palace,0.0,38
8,Everton,0.0,38
9,Fulham,0.0,38
10,Leicester,0.0,38
11,Leeds,0.0,38
12,Liverpool,0.0,38
13,Man City,0.0,38
14,Man Utd,0.0,38
15,Newcastle,0.0,38
16,Nott'm Forest,0.0,38
17,Southampton,0.0,38
18,Spurs,0.0,38
19,West Ham,0.0,38
20,Wolves,0.0,38
