id,Name,web_name,Team number,Team,Position,Team games,Played
3,Granit Xhaka,Xhaka,1,Arsenal,Midfielder,38,37
4,Mohamed Elneny,Elneny,1,Arsenal,Midfielder,38,5
5,Rob Holding,Holding,1,Arsenal,Defender,38,14
6,Thomas Partey,Partey,1,Arsenal,Midfielder,38,33
7,Martin Ødegaard,Ødegaard,1,Arsenal,Midfielder,38,37
8,Kieran Tierney,Tierney,1,Arsenal,Defender,38,27
9,Nicolas Pepe,Pepe,1,Arsenal,Midfielder,38,0
10,Benjamin White,White,1,Arsenal,Defender,38,38
11,Eddie Nketiah,Nketiah,1,Arsenal,Forward,38,30
12,Emile Smith Rowe,Smith Rowe,1,Arsenal,Midfielder,38,12
13,Bukayo Saka,Saka,1,Arsenal,Midfielder,38,38
14,Takehiro Tomiyasu,Tomiyasu,1,Arsenal,Defender,38,21
15,Aaron Ramsdale,Ramsdale,1,Arsenal,Goalkeeper,38,38
16,Gabriel dos Santos Magalhaes,Gabriel,1,Arsenal,Defender,38,38
17,Nuno Varela Tavares,Tavares,1,Arsenal,Defender,38,0
19,Gabriel Martinelli Silva,Martinelli,1,Arsenal,Midfielder,38,36
20,Pablo Mari Villar,Pablo Mari,1,Arsenal,Defender,38,0
22,Lucas Torreira di Pascua,Torreira,1,Arsenal,Midfielder,38,0
23,Reiss Nelson,Nelson,1,Arsenal,Midfielder,38,11
24,Matt Turner,Turner,1,Arsenal,Goalkeeper,38,0
25,Fabio Ferreira Vieira,Fabio Vieira,1,Arsenal,Midfielder,38,22
26,William Saliba,Saliba,1,Arsenal,Defender,38,27
27,Marcus Oliveira Alencar,Marquinhos,1,Arsenal,Midfielder,38,1
28,Gabriel Fernando de Jesus,Jesus,1,Arsenal,Forward,38,26
111,Leandro Trossard,Trossard,1,Arsenal,Midfielder,38,36
130,Jorge Luiz Frello Filho,Jorginho,1,Arsenal,Midfielder,39,32
313,Oleksandr Zinchenko,Zinchenko,1,Arsenal,Defender,38,27
607,Matthew Smith,Smith,1,Arsenal,Midfielder,34,0
630,Ethan Nwaneri,Nwaneri,1,Arsenal,Midfielder,32,1
631,Lino Sousa,Sousa,1,Arsenal,Defender,32,0
655,Karl Hein,Hein,1,Arsenal,Goalkeeper,27,0
668,Amario Cozier-Duberry,Cozier-Duberry,1,Arsenal,Midfielder,24,0
