,Teams,xA av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,223.57085175463476,38,336.94388593523445,,295.28026974416014,166.59837061176125,237.0330809143178,201.80892951775303,,209.39758203799656,,192.18533864541834,185.84874812218328,,172.88505761215984,,,266.625322997416,,242.53501236093942,,143.16401759530788,,261.4823453815261,,193.93758775463235,198.53433435040952,,243.90684540787225,,211.01613626176604,,216.93565014367815,175.23218243134733,152.6112066718791,223.82940681531343,292.63149178590356,293.17110057769213,264.74571542447194,201.7715160302884,204.62483314794216,198.95448680351905,223.8018232385661,214.41119724375537,251.38253386454187,141.9760235351802,217.01191787681523,282.27021515015684,181.73451226468916,233.11866041178004,410.4751436781609,160.01892047416274,195.80096385542168
2,Liverpool,214.0829443916822,38,284.5737075988742,,260.1856959498004,177.77088770742714,268.9414297188755,189.73498808021316,,225.05307917888564,,216.12918726823239,190.10928152944803,,202.02925468314072,,143.27250359195403,158.47582470119522,,220.22725250278086,,,215.65018547959727,252.4231672229255,,103.24091689139497,174.29275475632008,,189.63726098191216,,277.86521599486105,,163.03164500224116,198.8315611154548,,211.54791967871483,220.48327022857944,246.9675044304817,195.25634720782102,163.58900293255132,200.86446092413013,211.14452227011498,207.8529199110122,170.91134661354585,245.62399567367115,187.46395642354193,178.57545482577862,229.08604464429095,244.40654608096472,290.5809353471118,406.42285970416856,252.80585927923508,160.09314075267582
3,Chelsea,181.75669710123103,38,203.65714095921354,,206.14278081834766,196.6825384207737,176.81971559768922,209.0724193548387,270.1365729295426,248.11433537263628,,187.9800107758621,214.84403879064467,,275.17252288421395,,,106.17200953582949,138.27237886983542,135.57287325324836,,,,118.53717484926787,,,,,196.62975100401607,151.89835856573708,139.20135676842432,,247.69068602904355,138.9489721115538,136.93864991139034,140.32855873203968,257.5817595307918,120.0429915209327,214.39876251390436,75.13980337451841,213.8373609394314,154.039835809226,254.30783280215744,198.95947272472307,208.48476234319256,84.71626786574593,185.13743582430124,127.07095282146162,250.8117108433735,118.75635572740457,156.13878317476212,289.2089260057472,159.30863049095606
4,Arsenal,169.8252148483174,38,255.31231671554252,,106.53375403169262,117.9985702811245,193.26494435612085,146.87794771968856,,131.82983621755253,180.37543702375618,233.51413291500288,210.5816892430279,,181.08303186907838,132.1593040115998,180.3588632949424,176.89790200677615,,167.75796466055536,,,266.23260257739594,254.56306407579893,,,125.42641090208858,,186.7190242706546,,,,100.22497687326549,,121.8696973184486,190.44542925278225,162.48036707452724,176.58414147176273,142.50209677419357,181.95108158220023,247.0714906745197,137.08565348022032,118.57866347814536,88.5750065155069,222.1356855163525,195.85851851851854,87.25419920318726,168.96897991967873,107.90493993625891,239.58305904016572,40.76611162503855,174.4496414164052,301.58162839248433
5,Man Utd,163.82325174717283,38,120.20358311800172,,,,156.62591235059762,125.72805524329533,120.39482294935009,172.2281429597701,79.60332999499248,205.29329036713082,161.0358797653959,,151.43468855876986,,,135.9210923694779,,79.34477335800186,,290.10647004118505,,133.8842474827769,218.7007490039841,130.04686252139192,190.11822750674187,,186.96002502780868,156.5904608960976,123.12010633156115,,113.77216708635757,147.19340524638392,153.74141074183143,,,98.86141097939925,248.07264427217916,202.9211206896552,41.625100851636034,105.98396439484523,118.32115325316066,142.24059437751004,276.5933149724587,192.52878550951266,215.6916275659824,299.0208152086354,227.4007786429366,242.00706773243581,124.18456524959265,161.77682544209927,176.00609432962375
6,Spurs,156.84806501530758,38,156.01102543445734,,206.63993625888696,200.14137931034483,150.48743114672007,133.19865780557726,,138.57013007868957,,49.53654183266933,86.33992266795553,,214.60492217080355,172.52330367074526,189.41047011952193,116.18563040791098,,186.66167155425222,,154.13349231584527,149.32778867369453,184.74008633980884,,190.0979114205303,103.55924130062752,,138.17220977140295,,224.1267005473026,,244.35429786103361,237.1929691956646,298.95364341085275,199.0890585878818,,,132.5574174243296,131.94196242171188,,97.74319024907261,108.93325513196481,110.9044653893696,102.58142380422692,147.5917543121582,170.08237473819884,170.49080459770119,146.26597938144332,43.770990525409125,123.97639165670255,77.08995704340097,272.23808202281833
7,Brighton,154.86181788732497,38,194.4922274749722,,167.8038685744568,,166.20723114956735,169.84627462598135,,96.56945236737023,66.41893308664818,145.55574297188755,93.58462643678162,,221.0279894119001,,166.275421686747,194.72944416624935,,194.70897489833123,,136.21135814403092,,117.86539593037512,129.13943139678614,115.57992560116914,,,137.4005082095387,220.69975347377857,220.18807924203273,,116.59262463343111,281.9811519497983,160.83663080134895,,129.24747444822987,,101.35193953223047,114.95575639599555,188.13855325914153,86.96331561140647,172.73299677464593,192.46890335503255,250.9601603453592,125.13538957302336,309.4778735632184,97.54043066322136,114.710516028147,87.20183073711257,142.12385630498534,132.88692706257473,125.1381098308409
8,Aston Villa,141.03912437605632,38,88.29343200740057,192.96407207648932,162.64144702842373,190.53129694541812,119.84167688158863,172.3394867073311,,100.5922986708366,,,211.85871485943775,,130.4893201007258,106.32510775862069,,155.66551724137932,147.89638314785378,147.337393040502,,84.78764940239044,,228.07543510030558,,119.91830037862854,119.70123211446742,,73.00041055718475,,186.9333127317676,,211.89423478400514,,154.21521739130435,,154.52661986419608,93.16657486229343,140.00565545999478,265.87459142769046,127.64687338501291,108.52819123505977,134.82934968625216,85.8133064516129,140.60858477011496,146.4422604058658,108.57111646586347,86.19259888751543,141.84017595307918,211.73879426266248,112.98954552754134,110.33207123825551,85.07847748106816
9,Southampton,138.25593446563107,38,97.14678133958823,,59.258462694041064,,205.473197366308,112.20482342807924,,171.63075697211156,111.14604069624909,93.81627155172414,102.1838413267593,,138.156240063593,,,149.67985917364157,152.9274856261394,152.31567584984694,,183.32408792726434,,210.01802052785922,,140.19998454882568,222.73654618473896,,115.33826703669443,,139.4688194341579,,139.7093463947326,86.40106024096383,114.23840378197998,,140.86704565030146,107.94662356321838,139.36006374501991,146.8126531144123,118.67839258888331,152.59689262285647,126.86046399226679,141.71178424339047,148.69537876930622,160.96868044515105,95.82445091887047,191.9129166049474,188.91612704286155,96.5735956618465,230.88342448464454,81.40965698393077,86.33338709677419
10,West Ham,132.47198409100943,38,83.34882868525897,,143.1785383903793,,116.22895615145588,138.29213362068967,,73.71111609143883,,184.5055896052954,94.14069375301108,,111.77005865102637,89.09461847389558,,140.67900757209603,,171.6396344516775,,141.18829802992147,,118.01914177534708,,62.607571019025286,107.86888534608744,,54.3063195302843,,158.0637254901961,139.38568304753136,112.42701119724376,139.0557592666401,141.17534227039363,,90.22577227011496,138.1815641088502,139.32846257283728,134.22141832669323,116.13370336108542,97.53264701525698,150.64889834752128,168.73169002738842,151.87524497991967,147.70290322580644,192.00973181307208,159.77252252252254,128.94014215080347,118.2745864232744,207.19009474590868,212.9497784727652,159.52932267564154
11,Leeds,130.9171792593476,38,106.15424763128311,,208.32068525896415,92.93381891528463,36.94739583333334,138.80363860622882,,126.75812230835486,,,87.82018068287499,,101.8117940673132,140.0419789660791,,133.44806076648635,50.39092959561785,178.41056815220227,,187.6166907630522,53.930045067601405,168.698346724351,,81.98362170087975,147.2246334783309,,98.21363062684055,,182.83524749721917,,193.04312331453787,,,108.87320402298852,110.16793092815296,137.01595696996864,190.87051549702906,126.4248406546081,103.38954581673308,165.86102811244982,129.0808444096951,116.67427782253425,194.68318767589986,40.007344552196244,145.48162614587488,131.27552836484983,210.26398822044595,170.18642964446667,106.32391517528806,171.24837243401763,101.63751545117428
12,Leicester,126.81863248707783,38,119.74612093553908,51.019654863290015,156.87683007838453,148.5889975831511,201.98041055718474,117.58417670682731,,55.274174319316906,117.82190615835776,112.59297433740008,136.4232902670112,,148.66977750309022,140.5378673518548,,123.00355603448277,,78.51922363540012,,130.27644030399608,,144.4362020441416,,129.6614849833148,104.63074611917875,,113.87238247011955,,116.13379919678714,,,124.32974461692538,270.2494912118409,,,74.3384938998738,148.99091348477526,109.26143753565319,178.12502989238746,77.61346929627969,64.93428722840488,200.83631465517243,111.95389433113857,153.55236402966628,74.21071490094745,184.58464084334398,196.70734661354584,178.97317298797407,56.481631948440565,45.28288375973304,121.03218782402607
13,Everton,126.63583654451742,38,90.6890625,151.97643410852714,112.05745945077886,162.61727115716755,91.34822778212146,130.65656656207977,,110.28209814722085,,138.240878290331,78.5199629171817,127.58869821034571,143.5601918798665,,79.22204459402607,77.66311657532216,,102.9768032128514,,154.31464693185325,,67.59861665715917,,184.9772787493376,111.77904922170804,,174.75782181408087,,79.26725745195074,,171.73352988047813,,,,70.09782608695653,96.54058570198106,123.23520114942531,132.08017025538305,184.2423478400514,86.30484119642308,141.30820883534136,137.36723448378018,155.50597847748108,144.27754449388212,158.1360166872682,100.19737599263435,140.15951345255354,127.90490316253985,158.57859760956177,166.69315050344463,147.7052766685682
14,Wolves,125.55338620203925,38,181.4891337005508,,163.6557141213028,177.18344125809438,190.0590542357687,114.48901992031874,,107.82588869821035,,,59.50696956948534,,76.46953439664894,141.48839427662958,,142.5966568914956,115.06585625083036,168.08504737295436,,159.61095661846497,80.72832255747126,102.44111284857964,,93.86014457831324,199.56226652298852,,101.18312188854985,,76.51979463776385,,206.06508034610624,,,91.48850291349171,79.64900398406375,70.39611470860315,91.06750125187781,151.22501838685955,57.81759696167568,162.03202169076755,66.43414298018949,93.51995601173022,50.067753047164814,115.84718865796681,105.81026503996634,65.1154021677125,153.2763770676088,144.5391656702538,134.81917490729296,333.89762248995976,146.14035704977846
15,Crystal Palace,124.67008866577142,38,86.39188813349813,59.667434017595305,212.6808925406799,,150.70799787431915,152.2118511123788,,167.12034976152626,,121.90789510587577,98.40733646077666,,66.9454382183908,,,124.88350292938637,,118.93060287364834,,90.6717700416769,86.36365085691513,149.7347377857463,,119.41058294523846,84.31423639083899,,119.32426139208813,,52.61972908366535,,236.3676863181313,124.54162734491887,82.25712449799195,,75.7840273816315,151.48530791788855,87.88655747836836,68.0955617382088,139.74391815691962,161.42262809512135,152.07832913642423,195.27961763798947,160.16237554340205,113.39028376436781,167.23364607766487,110.68642231075698,191.01569854782173,153.42922088353416,107.42355394883205,95.27991006905411,101.60571492604214
16,Brentford,124.00508630780111,38,129.86857445680977,,206.14105571847506,,164.26003993154592,135.3173980222497,,178.91442570281123,,163.98812275807097,158.08658231368187,,214.62942626624832,140.2577664842325,,104.03142927188037,,64.79430314190355,,88.98914598233067,,68.33530890804599,,125.31390180878553,125.67893925377737,,113.77216708635757,159.03281829419035,124.49121181772658,82.13001996577299,98.49608506524892,76.95846438482887,177.38603984063747,,,107.44049422080512,88.25936671966085,78.52758232931727,42.552052785923756,81.21163932127332,170.4097594659915,69.16983329247365,162.52757362522803,180.95356342447337,84.10959399332592,179.228592889334,88.26656791586431,98.25090039840637,120.52263573384889,158.19769164513352,101.69220545977014
17,Watford,121.04925366132638,38,133.54719856566564,,138.5770263226479,62.409677419354836,71.54446167097329,96.28440794312331,,177.97887758248535,,158.35106792998232,88.85744568097509,,115.44904857285928,,,91.87893610952652,81.19760035550287,155.08640445402298,,89.97909456118664,131.9795348837209,101.19745448686966,,88.07638247011951,78.46044215795328,126.56103211571464,126.3229140292324,,155.82144159304445,,57.28991164658635,108.67892102335928,,,,88.23748193351533,255.73277829170522,242.95761990138956,133.28269481365652,184.54184177997524,107.02004310344829,103.83515402167716,175.88181818181818,119.97013019529292,42.20728669846317,139.27163090730613,119.19776729197838,55.97858095097022,116.03020080321285,143.8820717131474,136.31525696793943
18,Newcastle,119.0455465076273,38,58.1817112037264,,204.5426364942529,,188.7172679617638,59.58139709564346,,116.00629531591669,119.64811369509044,118.15603335939537,97.91475336987112,,77.18080321285142,,154.98403225806453,91.05490811295384,85.53294352538508,108.6309641434263,,289.8787698731331,,140.33210511679647,,104.41831802803287,147.79746334310852,,113.8913222045575,,101.70005314202207,,,,97.35279666254635,127.07095282146162,33.262243365047574,106.39085222830337,113.91283402794802,77.70863160317643,89.64665948275862,276.00104384133607,61.97206374501992,89.03146571044374,92.87448751076657,107.63873092369478,87.12024885202192,159.27582037996547,136.36200317965026,94.86168108776266,93.7183542498574,147.3285323022394,154.0514738598443
19,Burnley,117.401144647608,38,120.55135324638901,91.63876268728855,100.80123694779117,,157.40671822136298,114.12339577520925,,159.91150940601392,162.51259269823166,79.35713292547275,134.19026355161697,103.73244868035191,93.2649090348443,,,69.1814999197045,,83.39473330345136,86.22197028928849,56.76897502153316,180.8827951807229,104.93113944223109,,171.31670005007513,71.94341779975277,91.67570081041583,124.85671695402301,,,,78.60466348701644,124.15720024721878,,,,94.78021412680758,91.34048520544104,78.14074951858983,,153.64284237726096,116.49246974450921,132.56335313955356,101.35193953223047,158.2918285538082,142.20605363102774,74.79293719051343,196.66670258620692,126.61599706744866,103.98029941706412,190.2083625438157,138.74342629482072
20,Norwich,111.05210900973613,38,88.0586345381526,,121.89192712190786,86.72619233776389,76.21871523915462,108.88596745609796,,70.26886832141355,,152.25698393077872,157.3119637165972,,46.76167330677291,,,79.45906200317965,98.57055132227701,148.20168620523526,,83.32564175698806,,127.55908863294941,,221.9267345050879,68.2116451335056,,63.57324299189585,,101.46300586510263,,87.60668798665183,136.9787596899225,71.57834051724139,,104.41831802803287,123.45968788627935,148.24930120481926,184.30882064226617,157.71439786698267,98.13295778665147,89.68739360847918,81.936817700053,60.84780367548184,144.70425498007967,71.62042167197842,117.1599853372434,116.95077720207254,128.09974856321838,103.19744592129268,43.351279679309286,249.30535803705558
