,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Mohamed Salah,Liverpool,Midfielder,58.576840081828074,63.59771208884191,38,35,132.7819582284106,,0.0,27.013694216207508,60.08706827309237,20.800308512130137,,24.585630498533725,,73.73702101359703,15.90872648781992,,27.41703201806829,,47.487248563218394,104.82836653386455,,54.69813681868743,,,76.04146793852676,80.90010357923812,,12.64819808776661,66.38923638259057,,0.0,,0.0,,93.94554011653968,57.985535574667715,,41.439357429718875,48.83550694152293,107.01578862574513,29.61324248259517,65.24648093841643,56.10225328009128,107.71497844827587,34.074249165739715,52.41418326693228,89.68016069221261,77.9671848013817,113.34967622571693,48.675606230929816,127.75796726959517,65.7886857445681,69.37516808606007,61.659965677862225,51.95419495914374
2,Harry Kane,Spurs,Forward,48.699468328075255,50.01567017477999,38,37,71.99367015767062,,72.72713900465801,166.7844827586207,35.522784176264395,45.379984362783425,,48.675606230929816,,11.305019920318726,23.896729498952794,,46.122423222549436,35.86763070077865,50.3587250996016,30.889833127317676,,58.627272727272725,,31.61274509803922,18.181784751164503,133.23558433549184,,101.25818397274477,14.715345122646895,,24.570372030479607,,97.48292937190514,,68.54258004517072,35.868653736451805,25.551593453919033,166.31121682523784,,,20.039475198526873,61.10342058776296,,70.91507684154743,26.47683284457478,23.91470951792336,22.417269187986655,31.65264338802412,70.65120025777348,39.37966954022989,27.461004034065443,0.0,24.846685266374386,16.23952007110058,0.0
3,Cristiano Ronaldo dos Santos Aveiro,Man Utd,Forward,43.13269800921978,50.32148101075641,35,30,0.0,,,,32.88733067729084,35.21214067769391,50.58606006275213,52.12015086206897,0.0,71.99367015767062,38.76964809384164,,0.0,,,106.7063453815261,,0.0,,52.26371728444268,,45.283121356650774,72.96876494023905,43.22632629777525,20.55332189262074,,38.557703003337046,48.675606230929816,0.0,,14.328988298029921,61.659965677862225,33.46136586733979,,,35.625733686269996,91.09698535745046,86.86691810344828,2.890632003585836,45.409459279925606,33.80604378661733,38.33140562248996,72.66024036054081,31.093692989314572,7.5648093841642225,42.59851780248107,121.05325361512793,81.39251156920488,,,
4,Sadio Mane,Liverpool,Midfielder,41.30780787209017,46.16754997468902,38,34,49.67382609983706,,0.0,56.105364910584825,17.611726907630523,28.035198429392793,,10.401612903225807,,42.84718788627936,41.76040703052729,,15.422080510163413,,6.949353448275863,62.69147410358566,,78.90878754171302,,,38.447933227345,40.82115318218437,,36.36356950232901,0.0,,0.0,,0.0,,52.03137606454505,52.943315089914,,36.259437751004015,44.31370074323377,86.23602384404704,25.79217893645386,50.11686217008798,22.99272675413577,64.86063218390805,53.801446051167964,50.3587250996016,17.93603213844252,28.273814268632925,33.80604378661733,13.463465553235906,65.54539190353144,111.9262056173821,118.51591214701928,75.88918852659965,38.59454482679249
5,Bukayo Saka,Arsenal,Midfielder,37.04221822460208,37.04221822460208,38,38,28.368035190615835,,34.36572710699762,31.079518072289154,26.486354001059887,36.764321468298114,,78.7192521631644,70.82048408785299,45.065744438106115,55.49737051792829,,11.109388458225666,47.79345899790559,11.302704056084126,78.15441751368257,,19.705991762986585,,,83.10813212857354,80.78079331941544,,,17.194785957635904,,38.735106643785244,,,,45.73758865248227,,25.234894694441248,75.18706942236355,34.97093993325918,32.18981745579008,12.292815249266862,19.928924598269468,36.17444958631328,61.35753630445668,5.140693503387804,23.530362262184,47.79345899790559,2.2218776916451333,25.693227091633467,33.1514859437751,17.39127237067909,77.18908965358499,11.93154486586494,13.007844016136263,12.427814356833146
6,Diogo Jota,Liverpool,Midfielder,36.80871391102788,39.96374653197313,38,35,49.67382609983706,,51.50370792926413,18.701788303528275,2.0719678714859437,77.77506661057356,,13.23841642228739,,16.939585908529047,83.52081406105458,,58.26119303839512,,24.32273706896552,4.110916334661355,,0.8966907675194661,,,0.0,0.0,,6.324099043883305,60.50664581704457,,16.6640826873385,,99.42251485466517,,8.671896010757509,36.97628355486057,,36.259437751004015,113.045154957229,12.46785886901885,44.89749666716042,30.25923753665689,114.04392470051343,53.27837643678161,9.863598442714128,2.0554581673306775,44.840080346106305,0.0,41.76040703052729,41.426047856110486,37.771920757967266,40.15673025967144,91.05490811295384,29.248958077960285,26.719300264702497
7,Ollie Watkins,Aston Villa,Forward,36.317935819859294,39.430901747275804,38,35,51.70336108541474,18.181784751164503,45.54849267872523,37.13745618427641,49.011767590095616,54.180803314535616,,45.379984362783425,,,40.403373493975906,,55.40542141904903,34.74676724137931,,56.49151835372636,35.88473767885533,34.94894466628637,,21.582310756972113,,23.989903015809755,,0.904361239657832,5.980789613142555,,9.456011730205278,,34.87561804697157,,0.0,,43.35948005378754,,119.4946484060306,12.917376064096143,32.77443315089914,53.69195189639223,8.887510766580533,25.693227091633467,14.715345122646895,30.487486095661847,41.696120689655174,45.85276255369575,48.69124497991968,27.900494437577255,9.456011730205278,173.43792021515017,35.21214067769391,0.0,0.0
8,Ivan Toney,Brentford,Forward,35.03318764015621,40.34124637351321,38,33,30.758346581875998,,34.041642228739,,52.423416999429556,30.889833127317676,,61.12305220883534,,11.138169257340243,69.04518909899889,,117.07059614522636,31.934063070106856,,45.84971806815396,,51.21199217401312,,16.278502313840978,,0.0,,0.0,0.0,,59.22648496519034,83.70148331273177,61.35753630445668,54.26283513976042,5.194941195424521,3.97718162195498,36.998247011952195,,,0.0,0.0,58.015100401606425,16.075219941348973,41.60061702426027,20.7816779836575,33.99203236087276,36.13591347406828,56.367324069923804,17.037124582869858,43.59614421632448,28.657976596059843,10.277290836653387,34.28661188980184,73.3219638242894,4.632902298850575
9,Heung-Min Son,Spurs,Midfielder,34.638466788615055,37.6074782276392,38,35,63.087236736103115,,30.0394704584457,26.639188218390807,59.742864296444665,37.816653635652855,,4.142604785611049,,36.998247011952195,52.988400193330115,,47.02678446220727,37.66101223581758,22.61003984063745,23.91470951792336,,37.82404692082111,,46.99191838897722,6.324099043883305,17.89731729879741,,55.40542141904903,19.313890473474046,,0.0,,0.0,,50.55015278331341,81.85410724472335,53.325064599483206,40.366800200300446,,,28.203705834963746,47.639955034527055,,11.107180710121888,1.8912023460410556,17.93603213844252,20.623887652947722,35.27008834665545,73.7681649750282,39.37966954022989,41.914164051994625,0.0,29.13059651919756,35.34483780180714,81.5322232500771
10,Luis Diaz,Liverpool,Midfielder,33.12691310243209,40.771585356839495,16,13,45.85276255369575,,0.0,22.85774125986789,58.015100401606425,65.11400925536391,,36.87844574780058,,55.80098887515451,0.0,,0.0,,0.0,49.33099601593626,,54.69813681868743,,,45.283121356650774,54.180803314535616,,0.0,42.018504039614285,,,,,,,,,,,,,,,,,,,,,,,,,,
