,Teams,Opponent xG av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,85.34210526315789,38,73.0,,85.0,83.0,111.0,165.0,,70.0,,30.0,99.0,,19.0,,,69.0,,108.0,,71.0,,98.0,,106.0,77.0,,95.0,,40.0,,81.0,93.0,178.0,47.0,73.0,43.0,115.0,128.0,59.0,93.0,36.0,80.0,136.0,83.0,139.0,72.0,143.0,90.0,14.0,10.0,131.0
2,Liverpool,105.10526315789474,38,101.0,,56.0,124.0,106.0,35.0,,90.0,,41.0,178.0,,61.0,,90.0,81.0,,160.0,,,24.0,54.0,,79.0,53.0,,125.0,,67.0,,183.0,94.0,,198.0,30.0,56.0,30.0,104.0,150.0,71.0,115.0,128.0,165.0,74.0,189.0,196.0,144.0,140.0,105.0,119.0,178.0
3,Chelsea,117.42105263157895,38,116.0,,8.0,30.0,131.0,116.0,95.0,98.0,,164.0,65.0,,261.0,,,57.0,75.0,87.0,,,,84.0,,,,,70.0,153.0,166.0,,143.0,183.0,118.0,57.0,84.0,189.0,123.0,157.0,37.0,31.0,77.0,71.0,28.0,295.0,71.0,228.0,72.0,280.0,305.0,80.0,57.0
4,Arsenal,146.52631578947367,38,89.0,,191.0,249.0,68.0,133.0,,135.0,148.0,172.0,67.0,,75.0,71.0,154.0,97.0,,187.0,,,71.0,74.0,,,199.0,,84.0,,,,198.0,,50.0,75.0,63.0,123.0,136.0,188.0,103.0,366.0,100.0,226.0,116.0,82.0,193.0,96.0,178.0,128.0,434.0,336.0,113.0
5,Crystal Palace,152.76315789473685,38,144.0,147.0,133.0,,86.0,105.0,,90.0,,164.0,143.0,,117.0,,,248.0,,182.0,,50.0,105.0,129.0,,141.0,63.0,,164.0,,196.0,,160.0,170.0,246.0,,155.0,161.0,208.0,203.0,97.0,203.0,63.0,231.0,88.0,238.0,113.0,115.0,379.0,15.0,255.0,143.0,155.0
6,Aston Villa,163.3421052631579,38,360.0,152.0,198.0,244.0,132.0,72.0,,49.0,,,162.0,,137.0,125.0,,155.0,52.0,96.0,,126.0,,100.0,,111.0,241.0,,171.0,,148.0,,92.0,,177.0,,115.0,312.0,174.0,223.0,127.0,94.0,113.0,313.0,309.0,161.0,224.0,301.0,147.0,114.0,138.0,73.0,169.0
7,Spurs,163.81578947368422,38,98.0,,79.0,102.0,264.0,61.0,,209.0,,144.0,283.0,,108.0,52.0,159.0,133.0,,65.0,,207.0,175.0,279.0,,181.0,286.0,,171.0,,175.0,,59.0,85.0,46.0,236.0,,,115.0,88.0,,204.0,144.0,152.0,182.0,63.0,220.0,166.0,371.0,237.0,124.0,291.0,211.0
8,Brentford,163.8684210526316,38,130.0,,151.0,,169.0,108.0,,145.0,,178.0,55.0,,261.0,104.0,,74.0,,188.0,,327.0,,369.0,,90.0,186.0,,72.0,203.0,378.0,162.0,193.0,157.0,132.0,,,66.0,186.0,220.0,228.0,298.0,94.0,160.0,102.0,66.0,229.0,203.0,102.0,70.0,108.0,55.0,208.0
9,Brighton,165.1315789473684,38,96.0,,258.0,,144.0,119.0,,195.0,227.0,68.0,336.0,,84.0,,209.0,271.0,,133.0,,119.0,,142.0,267.0,99.0,,,228.0,185.0,40.0,,225.0,216.0,204.0,,108.0,,186.0,174.0,118.0,155.0,71.0,181.0,398.0,148.0,102.0,112.0,193.0,58.0,168.0,117.0,121.0
10,Man Utd,170.31578947368422,38,80.0,,,,268.0,133.0,281.0,177.0,209.0,172.0,83.0,,111.0,,,176.0,,357.0,,93.0,,184.0,91.0,141.0,80.0,,81.0,297.0,211.0,,195.0,140.0,160.0,,,220.0,87.0,202.0,288.0,276.0,211.0,91.0,253.0,336.0,131.0,104.0,133.0,104.0,177.0,79.0,60.0
