iter	Passed	Remaining
0	221	221398
1	225	112520
2	228	76085
3	232	57892
4	236	46976
5	239	39667
6	242	34468
7	246	30551
8	249	27501
9	253	25065
10	256	23068
11	260	21418
12	263	20020
13	267	18807
14	268	17636
15	272	16748
16	275	15954
17	279	15258
18	283	14614
19	286	14041
20	289	13514
21	293	13041
22	296	12604
23	300	12202
24	303	11834
25	307	11518
26	311	11240
27	316	10976
28	317	10627
29	321	10410
30	325	10177
31	329	9968
32	333	9761
33	336	9561
34	340	9377
35	343	9204
36	347	9035
37	350	8877
38	354	8729
39	357	8583
40	361	8447
41	364	8315
42	367	8188
43	371	8068
44	374	7954
45	378	7843
46	381	7740
47	385	7638
48	388	7540
49	392	7448
50	393	7323
51	397	7238
52	400	7155
53	402	7054
54	406	6976
55	409	6901
56	414	6854
57	418	6790
58	421	6724
59	425	6660
60	432	6654
61	440	6658
62	442	6585
63	448	6554
64	451	6498
65	455	6439
66	458	6388
67	462	6334
68	466	6288
69	469	6237
70	472	6188
71	476	6140
72	479	6092
73	483	6046
74	486	6004
75	490	5962
76	493	5920
77	497	5878
78	500	5837
79	504	5799
80	507	5760
81	511	5722
82	514	5684
83	518	5651
84	523	5632
85	527	5601
86	530	5566
87	533	5532
88	537	5501
89	540	5469
90	544	5440
91	548	5410
92	551	5380
93	555	5350
94	558	5320
95	561	5290
96	565	5261
97	568	5234
98	572	5207
99	573	5163
100	575	5120
101	576	5078
102	580	5052
103	581	5007
104	585	4988
105	588	4965
106	592	4942
107	595	4919
108	598	4895
109	602	4874
110	605	4851
111	609	4831
112	610	4794
113	614	4772
114	617	4752
115	620	4732
116	624	4712
117	625	4678
118	629	4658
119	632	4639
120	636	4620
121	639	4602
122	642	4583
123	646	4565
124	649	4547
125	653	4530
126	656	4512
127	660	4496
128	663	4481
129	667	4464
130	670	4450
131	674	4434
132	678	4420
133	680	4397
134	683	4382
135	687	4366
136	690	4351
137	694	4335
138	697	4320
139	698	4293
140	702	4279
141	705	4264
142	709	4250
143	712	4236
144	716	4222
145	719	4208
146	722	4195
147	726	4182
148	730	4169
149	733	4157
150	737	4144
151	740	4130
152	743	4117
153	747	4104
154	750	4091
155	753	4079
156	757	4067
157	760	4054
158	764	4043
159	767	4031
160	769	4012
161	775	4011
162	779	4000
163	782	3989
164	787	3982
165	795	3996
166	799	3987
167	805	3988
168	809	3981
169	813	3970
170	816	3959
171	820	3948
172	823	3937
173	827	3926
174	830	3916
175	834	3905
176	837	3894
177	841	3884
178	844	3873
179	848	3863
180	851	3853
181	854	3842
182	858	3832
183	861	3822
184	865	3811
185	868	3801
186	872	3791
187	875	3781
188	878	3771
189	882	3761
190	885	3750
191	889	3742
192	892	3732
193	896	3723
194	899	3713
195	903	3704
196	905	3689
197	908	3680
198	912	3672
199	916	3665
200	920	3657
201	923	3648
202	926	3639
203	930	3630
204	933	3622
205	937	3614
206	941	3605
207	944	3596
208	947	3587
209	949	3571
210	952	3562
211	956	3553
212	959	3544
213	961	3531
214	964	3522
215	968	3514
216	971	3505
217	974	3497
218	978	3489
219	981	3481
220	985	3472
221	988	3464
222	991	3456
223	995	3448
224	999	3441
225	1002	3433
226	1006	3426
227	1009	3418
228	1012	3410
229	1016	3402
230	1019	3394
231	1023	3387
232	1026	3378
233	1029	3371
234	1033	3363
235	1036	3356
236	1040	3348
237	1043	3341
238	1047	3333
239	1050	3326
240	1053	3319
241	1057	3311
242	1060	3304
243	1064	3297
244	1067	3289
245	1070	3282
246	1074	3276
247	1078	3269
248	1081	3262
249	1085	3255
250	1088	3248
251	1092	3241
252	1095	3234
253	1099	3227
254	1102	3221
255	1106	3215
256	1112	3216
257	1117	3212
258	1122	3212
259	1127	3208
260	1131	3202
261	1136	3199
262	1146	3212
263	1153	3214
264	1159	3215
265	1163	3209
266	1166	3203
267	1172	3202
268	1178	3201
269	1182	3195
270	1185	3189
271	1191	3188
272	1195	3182
273	1198	3175
274	1202	3169
275	1207	3167
276	1211	3161
277	1214	3155
278	1218	3149
279	1222	3144
280	1226	3138
281	1230	3132
282	1234	3127
283	1237	3121
284	1241	3114
285	1244	3107
286	1248	3100
287	1251	3094
288	1255	3088
289	1258	3081
290	1262	3075
291	1265	3068
292	1269	3062
293	1272	3055
294	1275	3049
295	1279	3042
296	1282	3036
297	1286	3030
298	1289	3023
299	1292	3016
300	1296	3010
301	1299	3004
302	1303	2997
303	1306	2991
304	1309	2985
305	1313	2978
306	1316	2972
307	1320	2966
308	1323	2960
309	1327	2953
310	1330	2947
311	1333	2941
312	1337	2935
313	1340	2929
314	1344	2922
315	1347	2916
316	1350	2910
317	1354	2904
318	1357	2898
319	1361	2892
320	1364	2886
321	1368	2880
322	1371	2874
323	1374	2868
324	1378	2862
325	1381	2857
326	1385	2851
327	1388	2845
328	1392	2839
329	1395	2833
330	1399	2827
331	1402	2822
332	1405	2815
333	1409	2810
334	1412	2804
335	1416	2798
336	1419	2793
337	1423	2787
338	1426	2781
339	1430	2776
340	1433	2770
341	1437	2764
342	1440	2759
343	1443	2753
344	1447	2747
345	1450	2742
346	1454	2736
347	1457	2730
348	1461	2725
349	1464	2719
350	1467	2714
351	1471	2708
352	1474	2702
353	1478	2697
354	1481	2692
355	1485	2686
356	1488	2680
357	1492	2676
358	1497	2673
359	1501	2669
360	1505	2664
361	1512	2665
362	1517	2662
363	1523	2662
364	1527	2657
365	1531	2652
366	1535	2647
367	1538	2642
368	1541	2636
369	1545	2631
370	1549	2626
371	1552	2621
372	1556	2615
373	1559	2610
374	1563	2605
375	1566	2599
376	1569	2594
377	1573	2589
378	1576	2583
379	1580	2578
380	1583	2572
381	1586	2567
382	1590	2562
383	1594	2557
384	1597	2552
385	1601	2546
386	1604	2541
387	1607	2535
388	1611	2530
389	1614	2525
390	1617	2519
391	1621	2514
392	1624	2509
393	1628	2504
394	1631	2498
395	1635	2493
396	1638	2488
397	1642	2483
398	1645	2478
399	1648	2473
400	1652	2468
401	1656	2464
402	1660	2459
403	1663	2454
404	1666	2448
405	1670	2443
406	1673	2438
407	1677	2433
408	1680	2428
409	1683	2423
410	1687	2418
411	1690	2412
412	1694	2407
413	1697	2402
414	1700	2397
415	1704	2392
416	1707	2387
417	1711	2382
418	1715	2378
419	1718	2372
420	1721	2367
421	1725	2362
422	1728	2357
423	1732	2353
424	1735	2347
425	1738	2342
426	1742	2338
427	1745	2333
428	1749	2328
429	1752	2323
430	1756	2318
431	1759	2313
432	1763	2308
433	1766	2303
434	1769	2298
435	1773	2294
436	1776	2289
437	1780	2284
438	1783	2279
439	1786	2274
440	1790	2269
441	1793	2264
442	1797	2259
443	1800	2254
444	1804	2250
445	1807	2245
446	1811	2240
447	1814	2235
448	1818	2231
449	1821	2226
450	1824	2221
451	1828	2216
452	1831	2211
453	1835	2207
454	1838	2202
455	1842	2197
456	1845	2193
457	1849	2188
458	1855	2186
459	1859	2183
460	1863	2178
461	1870	2178
462	1874	2174
463	1880	2172
464	1884	2167
465	1887	2163
466	1891	2158
467	1895	2154
468	1899	2150
469	1902	2145
470	1906	2140
471	1909	2136
472	1913	2131
473	1916	2126
474	1919	2122
475	1923	2117
476	1926	2112
477	1930	2108
478	1933	2103
479	1937	2098
480	1940	2094
481	1944	2089
482	1947	2084
483	1950	2079
484	1954	2075
485	1957	2070
486	1961	2066
487	1965	2061
488	1968	2057
