iter	RMSE
0	79.75668465
1	79.64051998
2	79.55768911
3	79.46219803
4	79.38443486
5	79.28346531
6	79.18688616
7	79.04214693
8	78.96544499
9	78.8589601
10	78.75031449
11	78.671511
12	78.58397951
13	78.50351659
14	78.35223453
15	78.25437964
16	78.16164177
17	78.06021541
18	77.98378323
19	77.88983544
20	77.78356764
21	77.68778035
22	77.60834452
23	77.52067927
24	77.44103179
25	77.33582987
26	77.25975798
27	77.18004772
28	77.02848607
29	76.92570155
30	76.85294243
31	76.77625263
32	76.69711321
33	76.61939967
34	76.51115224
35	76.42669762
36	76.3428938
37	76.28021947
38	76.20421053
39	76.11440014
40	76.05190363
41	75.91705359
42	75.7845539
43	75.70956267
44	75.63861362
45	75.5433263
46	75.46888439
47	75.40242317
48	75.33581182
49	75.2687154
50	75.15878511
51	75.06231021
52	75.002709
53	74.91290157
54	74.84555406
55	74.77506289
56	74.71636601
57	74.62828514
58	74.52531025
59	74.42738669
60	74.35767023
61	74.29320533
62	74.19801139
63	74.12416136
64	74.04597665
65	73.99244093
66	73.9434142
67	73.88878124
68	73.78785088
69	73.68765277
70	73.62511004
71	73.53641275
72	73.45501758
73	73.39637282
74	73.33930271
75	73.25524602
76	73.1745888
77	73.09892946
78	73.04240871
79	72.97602438
80	72.92362122
81	72.86360478
82	72.77832416
83	72.71581089
84	72.65017534
85	72.58477102
86	72.51363105
87	72.43997902
88	72.38579798
89	72.32661167
90	72.27889997
91	72.2283012
92	72.1718425
93	72.10655874
94	72.04083231
95	71.97632607
96	71.92970864
97	71.87736905
98	71.78137982
99	71.69800951
100	71.62873539
101	71.54065444
102	71.46543897
103	71.37612969
104	71.3262011
105	71.27220941
106	71.22576177
107	71.16295185
108	71.10023231
109	71.03563154
110	70.99168306
111	70.91761005
112	70.8383722
113	70.79426434
114	70.71367806
115	70.66161167
116	70.59404095
117	70.50885516
118	70.45068898
119	70.36070603
120	70.31350629
121	70.26056808
122	70.21933584
123	70.1720311
124	70.1224993
