,Team,xG adjusted,xG,xA adjusted,xA,Opponent xG adjusted,Opponent xG
1,Arsenal,203.1956714821911,205.68421052631578,179.86230234444875,183.2842105263158,117.03946123151952,114.55263157894737
2,Man City,199.67224739727405,201.71052631578948,198.12989044182882,201.32894736842104,91.58850558838598,90.6842105263158
3,Liverpool,198.95640850645495,200.18421052631578,187.83886871679587,189.2947368421053,125.30844143821912,123.52631578947368
4,Brighton,189.66738612552876,189.1315789473684,189.8045609818471,191.35526315789474,122.57672425320051,121.07894736842105
5,Newcastle,187.16542720646584,189.3421052631579,172.17000003582493,173.49210526315787,122.41451266589247,122.63157894736842
6,Man Utd,178.3167766098687,178.07894736842104,182.33710554023637,182.92105263157896,149.72809644915316,151.1578947368421
7,Spurs,164.95283972069979,165.31578947368422,153.6754343620006,153.90789473684217,156.91628597039332,154.28947368421052
8,Chelsea,144.6875459996817,143.8684210526316,159.76084732134638,158.72631578947366,136.448551500067,134.92105263157896
9,Brentford,144.3317085515263,138.8421052631579,120.21418643521477,117.53421052631577,163.09340516014808,165.0
10,Leeds,143.3489316364722,141.6578947368421,134.55554864666902,134.92631578947368,161.68566196466782,159.23684210526315
11,West Ham,136.16636325856638,138.28947368421052,129.74408900462814,131.68157894736842,154.55388015355123,153.0
12,Everton,131.5649802091635,130.10526315789474,125.53401474464523,124.15263157894742,180.1401657714811,177.3421052631579
13,Fulham,130.21215181719387,131.68421052631578,128.549420658035,130.28421052631583,163.71577215338925,167.0
14,Aston Villa,130.13978800683913,131.8684210526316,124.78618051403083,126.49210526315797,137.78666449215152,139.71052631578948
15,Leicester,122.93944056149391,121.36842105263158,127.83334646834737,126.69210526315787,162.038066717925,158.21052631578948
16,Crystal Palace,121.6876446073249,122.42105263157895,125.67082205268427,126.58947368421052,146.75186459765712,148.97368421052633
17,Southampton,120.89569223496791,119.10526315789474,122.46994704813484,122.09473684210522,159.62798199161935,162.55263157894737
18,Wolves,114.54689969136231,115.1842105263158,123.12494729702013,122.8815789473684,164.4679486038676,166.23684210526315
19,Bournemouth,114.34411848889826,113.21052631578948,110.06872502839315,106.8973684210526,193.5761173556348,193.89473684210526
20,Nott'm Forest,103.10271473013225,102.84210526315789,93.67632064928105,93.91578947368421,170.43662878318153,175.89473684210526
