,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Kieran Trippier,Newcastle,Defender,47.74151708676904,47.74151708676904,38,38,6.073707821338015,,52.07876580172988,56.85180612910238,43.78982647496282,77.12950608775559,,75.16069289299014,13.694515506751745,67.88752174654614,36.57934450932379,51.10970972886763,39.82931200550396,66.43546657381617,11.77423997606224,,22.31736900427418,31.05282066163668,,,93.4788027268854,,33.42675081433225,,51.4177915376677,124.0175234057587,,55.22619287740309,,63.21237767057203,83.18195670137169,57.35256487025949,44.39328262141604,16.95698559171119,60.36125070634772,25.204328841889822,59.98701884552605,56.775710306406694,50.74851036682616,47.10731799558777,36.73100434310532,97.31375022080904,0.9649424797613977,28.232816210226375,21.68768427161927,19.565881330145622,35.06859964093358
2,Bruno Borges Fernandes,Man Utd,Midfielder,41.147920504853026,42.26002646444365,38,37,63.70194138039711,17.337675053637604,41.26474755700326,,59.15447205952193,62.22721362229103,76.417687459248,23.35532491994726,40.94496332935358,,67.3418761220826,62.42346638967206,44.51782137161084,31.346446351931334,,,24.65637364416384,18.69576054537708,,,110.46725548902198,,25.263361427863167,46.59686663361428,53.30753223812047,19.509993108201243,52.3073909203321,17.415867672663957,,35.34782844733985,45.71027386417604,34.72977259126272,46.57200756381973,0.0,20.742404540763676,43.06811000585138,111.24669281937575,51.272094420600865,30.749648315773857,4.764718514219385,,40.71085228577993,36.16319361277446,3.5747158814958726,35.34101832126119,22.304060606060606,43.06955009780483
3,Kevin De Bruyne,Man City,Midfielder,38.75366548496797,46.01997776339946,38,32,0.0,20.05810475983482,5.742414667446851,,0.0,69.80173194513304,0.0,0.0,38.1095198713531,,27.404920159680646,66.72802978792295,,80.81393268001706,,,0.30004239533651295,49.57112446351931,,0.0,56.499410532615215,36.548720422697,44.68438877378038,,46.64249360395702,41.5873864176033,0.0,22.47371866295265,,54.11121513555686,64.10377504080725,55.29869112543382,44.69842105263158,72.44534509927514,66.0166633399867,50.2067898282982,,44.74920749893482,24.56471426258702,30.95064763231198,46.06878581605193,69.53274816349595,11.689533213644527,43.50614732379438,85.53448927038627,60.32183767643866,41.874337805297564
4,Pascal Groß,Brighton,Midfielder,32.76876438106768,33.654406661637076,38,37,12.904083631569033,112.21733604178758,31.25584911769468,1.3364763948497855,15.477927865839654,67.04431518029382,0.0,6.722099097672947,36.67802812687014,,39.31345426175152,31.28813235544943,24.05189196525516,80.63775757575758,,38.30541247129482,10.479616592298795,42.06910216718267,,,42.64639773085408,,25.503603603603604,,25.74244028230185,28.629194943446443,,37.029667660843636,,56.54238611069892,53.71751435791409,11.549082078678973,5.332265963458279,10.307218616431852,12.14741564267603,61.94134068485201,38.11804308797128,33.86244019138756,44.131717550741946,3.739152109075416,,61.8729640718563,5.353104317680429,30.409601718724183,32.915177158582736,54.91703004291846,19.02380571030641
5,Trent Alexander-Arnold,Liverpool,Defender,31.837622290013734,32.69809856812221,38,37,62.96999514327345,,37.53915238274629,,33.24376912840985,18.059968102073366,28.639108099590295,37.468504178748084,34.86282077743378,55.482929383602645,31.906689803338296,89.74596829772572,0.0,13.308351712130005,,,23.28346091205212,26.41647632311978,34.327519392116514,20.802939409998235,66.45932618025752,,14.36663896720582,,33.969007440240624,0.6625863077823289,,36.05536622473376,,40.18342902711324,28.81754491017965,34.766374081747976,27.681133236198807,11.8779020979021,45.94189059659561,25.157908438061046,48.00941520467837,0.0,18.859660004594534,4.92223429689198,,21.25590443686007,19.804150214592276,47.33535287730728,42.08893802228413,74.91058470234941,18.646646706586825
6,James Ward-Prowse,Southampton,Midfielder,30.667558141731178,30.667558141731178,38,38,3.2566808691947173,,36.67064551184525,,7.405127639457928,75.21960502693,,2.3084592274678113,8.836957111834963,27.444056972203086,4.9006924571630455,26.61670342426001,,19.184289645682835,70.39829779976122,4.2440925039872415,53.5229352367688,24.20297072521624,,29.193217649975214,28.601642285937196,,50.90869716637645,,16.25397129186603,48.84355622527783,,31.337756343671167,,47.944027528426105,14.988692089505202,37.77814822864595,31.72248402215595,60.14143776824035,56.3079561914856,21.981258901906735,13.14017100977199,13.438740970072242,18.894573418456183,31.421771776227928,20.902482576756455,29.03946810194713,18.000261361419934,66.82974233983288,56.316640053226884,2.9941761692282274,54.17482176360225
7,Martin Ødegaard,Arsenal,Midfielder,29.87943282437968,30.68698506287643,38,37,35.761567199620075,,21.17669060442849,,26.826176918061293,30.860454935622318,,29.485090696313634,23.002089378990135,24.28973611785657,9.251307189542485,2.1711205794631447,,28.351105602379775,22.3031513866808,,26.40864796722345,43.8774131378936,24.2804600089034,35.033093812375256,96.620659257864,24.645095763203717,38.46773205741627,,19.827642083395165,17.34813370473538,,30.225880948319976,,52.60857081545065,54.51374483807868,66.02511867905058,8.335402881114454,30.147677004095964,56.160583482944354,40.14680913064595,,21.614209221616267,23.158619514273543,16.223476036158964,0.0,46.13026462395543,40.311930683744585,39.43453514024583,7.684310532030403,14.408772455089824,8.301172937643527
8,Michael Olise,Crystal Palace,Midfielder,28.412430582057727,29.180334111302532,38,37,85.04558946738481,,18.914301922470848,,51.869096091205215,34.08861333788163,,24.248163054695564,33.072727560550895,27.9771390414008,12.190697749716694,78.12928441579905,,44.07389221556887,9.624929933379281,20.42727233210172,49.29019152640743,4.799039367112451,,37.27090328078398,37.65503349282297,,32.36369050206477,,52.73438370473538,0.7289871244635193,52.04440111420613,34.78578115857226,,27.42539996588777,31.966731813246476,1.2490576741254333,18.296660682226218,45.38009631922945,14.02388538125304,1.848339516248702,59.423356023428845,0.28252495009980044,40.51494628986944,39.97604056953384,,22.234107296137342,17.33756937799043,0.0,1.493034469768318,16.88649339582446,0.0
9,Bukayo Saka,Arsenal,Midfielder,28.382308185377507,28.382308185377507,38,38,12.816802279563086,,27.61440454817475,,15.997261464898935,17.009699570815453,,22.41750341330213,6.243424260011608,64.98650153796343,13.925651874785004,49.69453770771199,,1.2163840687489673,42.30597774244833,,16.773060195398678,36.2699457111835,20.91984270663303,24.10879574184964,9.064852137879074,26.288102147417295,28.26385007974482,,39.65528416679033,50.073022284122565,,28.48765137301723,,46.53367811158798,13.905311888719845,51.807320261437916,42.48366629729302,48.03750731421884,34.560359066427296,2.7497814473045175,,17.122944967773925,4.462858968896464,66.63213371993861,37.745333333333335,18.23525417827298,45.537551327933706,22.661474944847146,22.976088490770902,41.34281769793746,7.601074015191662
10,James Maddison,Leicester,Midfielder,26.110680726792715,33.073528920604105,38,30,14.509944960440318,,21.86961373390558,,8.322628887942056,56.92134257800189,,37.30285205520107,54.456579077838384,0.0,57.50522344747534,26.587714440825195,45.75084196647203,1.9002685037979155,35.307237639553435,,46.04974839087186,61.595104419621194,,0.0,36.273370473537604,,28.294514753539147,,26.98126577509889,0.4922234296891981,,0.0,,0.0,0.0,0.0,1.1685861713106296,46.04045704110402,93.65136390017412,17.47745765394966,0.0,33.30470588235294,22.591872964169383,46.419305804907246,49.056701347433055,5.291401869158879,23.55797701949861,0.0,14.207204144406672,23.151858488398812,56.16650079744817
