,Teams,Opponent xG av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,90.6842105263158,38,156.0,225.0,136.0,,101.0,48.0,65.0,38.0,76.0,,132.0,37.0,,54.0,,,29.0,86.0,,119.0,55.0,81.0,54.0,,121.0,48.0,118.0,96.0,,101.0,35.0,105.0,217.0,56.0,123.0,105.0,,121.0,25.0,173.0,57.0,58.0,63.0,28.0,193.0,34.0,77.0
2,Arsenal,114.55263157894737,38,39.0,,64.0,,138.0,143.0,,128.0,187.0,152.0,134.0,280.0,,120.0,120.0,,83.0,90.0,128.0,29.0,94.0,117.0,134.0,,121.0,73.0,,170.0,,87.0,150.0,72.0,103.0,87.0,63.0,133.0,,215.0,111.0,90.0,79.0,129.0,57.0,131.0,47.0,75.0,180.0
3,Brighton,121.07894736842105,38,131.0,133.0,49.0,265.0,114.0,158.0,120.0,75.0,136.0,,70.0,95.0,106.0,128.0,,91.0,119.0,51.0,,,50.0,,73.0,,94.0,107.0,,77.0,,113.0,265.0,151.0,100.0,126.0,188.0,166.0,18.0,107.0,76.0,229.0,,90.0,95.0,124.0,180.0,49.0,282.0
4,Newcastle,122.63157894736842,38,178.0,,25.0,51.0,123.0,139.0,,90.0,96.0,85.0,161.0,157.0,75.0,54.0,51.0,,80.0,134.0,,,139.0,,123.0,,85.0,57.0,,44.0,,219.0,98.0,141.0,56.0,193.0,74.0,253.0,24.0,151.0,118.0,64.0,81.0,223.0,335.0,118.0,319.0,200.0,46.0
5,Liverpool,123.52631578947368,38,176.0,,83.0,,86.0,38.0,100.0,118.0,73.0,113.0,86.0,121.0,117.0,229.0,,,60.0,85.0,43.0,34.0,144.0,,45.0,,89.0,116.0,,240.0,,182.0,97.0,188.0,139.0,193.0,160.0,145.0,114.0,250.0,257.0,134.0,,174.0,34.0,50.0,158.0,74.0,149.0
6,Chelsea,134.92105263157896,38,137.0,279.0,116.0,,84.0,110.0,,252.0,65.0,,232.0,106.0,66.0,39.0,105.0,,138.0,97.0,,93.0,80.0,,136.0,,96.0,141.0,,135.0,93.0,143.0,173.0,85.0,162.0,153.0,250.0,127.0,154.0,222.0,85.0,71.0,,98.0,137.0,194.0,175.0,170.0,128.0
7,Aston Villa,139.71052631578948,38,105.0,,187.0,,70.0,54.0,,170.0,32.0,149.0,66.0,59.0,85.0,243.0,120.0,,148.0,16.0,,171.0,196.0,,231.0,,129.0,99.0,,172.0,,124.0,75.0,224.0,108.0,135.0,243.0,155.0,242.0,103.0,72.0,90.0,71.0,203.0,366.0,77.0,200.0,228.0,91.0
8,Crystal Palace,148.97368421052633,38,83.0,,118.0,,49.0,85.0,,127.0,88.0,85.0,101.0,158.0,,51.0,180.0,122.0,135.0,83.0,,98.0,126.0,,190.0,,159.0,225.0,125.0,169.0,,188.0,86.0,385.0,87.0,43.0,174.0,141.0,116.0,207.0,152.0,160.0,,412.0,123.0,249.0,110.0,300.0,171.0
9,Man Utd,151.1578947368421,38,110.0,145.0,119.0,,59.0,142.0,179.0,60.0,198.0,,43.0,70.0,56.0,295.0,,,130.0,272.0,,,125.0,,167.0,89.0,116.0,279.0,103.0,95.0,,100.0,153.0,125.0,240.0,73.0,175.0,77.0,123.0,110.0,158.0,366.0,,216.0,68.0,212.0,286.0,203.0,207.0
10,West Ham,153.0,38,132.0,,115.0,,319.0,153.0,182.0,184.0,173.0,154.0,166.0,137.0,196.0,77.0,,,171.0,243.0,,79.0,156.0,,112.0,,81.0,89.0,,122.0,,209.0,152.0,220.0,99.0,202.0,181.0,88.0,278.0,139.0,99.0,156.0,79.0,151.0,182.0,90.0,141.0,145.0,162.0
