,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Erling Haaland,Man City,Forward,48.57139911298665,52.73466189409979,38,35,0.0,59.06681156270376,6.625863077823289,,34.44632734827126,46.78400264419105,29.214654282765743,42.82483454144343,120.9619572708477,,35.78649367930806,55.912222761858516,,0.0,,,40.00565271153506,30.374463519313306,,34.57939739413681,12.706014362657093,58.52997932460373,8.531625541533247,,0.0,66.32471109703974,61.80371823298653,14.785341225626743,,13.251726155646578,27.725092743730524,98.2464055528012,23.477958532695375,56.207595335644505,0.0,71.37239730493371,,147.15372816361315,66.91134855107659,122.22548746518108,19.71815735317398,84.24980222264081,77.0831538001197,105.01483836777955,85.04849785407725,17.673914223669925,71.0889920880633
2,Harry Kane,Spurs,Forward,46.896169423918536,46.896169423918536,38,38,49.59104280284251,,27.08995215311005,,40.52522132228292,19.002685037979155,,20.5050276949297,28.584993036211703,46.169184549356224,31.50567318132465,33.22508150402087,,25.20462976702775,42.16331552533593,,54.21232794733693,15.236757954725347,,41.96379949288083,12.659683522531822,,17.89324683965403,,93.65136390017412,48.17793885912386,29.574114915844458,72.83730760395132,,70.00989224518636,25.59487662459974,46.95591706539075,40.2342422740043,42.21623348956115,34.57939739413681,102.05819742489271,67.02688022284123,109.22006232378692,43.06955009780483,54.627980702963484,53.679740518962085,57.099779388591244,63.29841761265911,71.15368043087973,71.7023903751781,48.58966257070412,31.164189736117862
3,Mohamed Salah,Liverpool,Midfielder,44.55092859726418,44.55092859726418,38,38,62.328379472235724,,68.25300433226597,,45.20399201596807,48.76191387559809,39.25609832965648,42.49005628517824,19.476436188510494,32.1885697187313,44.912642538423405,156.07994486560995,2.2086210259410963,39.432153221125944,,,14.600190010857764,48.29878133704736,24.19955675162261,27.00381558028617,25.514549356223178,,57.97064846416383,,17.925597593794524,26.503452311293156,,12.305585742229951,,25.283955342902715,48.970991350632076,51.18975324919948,56.82881657762669,60.838035135596115,93.5680052883821,54.21232794733693,71.0889920880633,37.789146836912366,5.202664828853665,84.90854162138666,,34.44632734827126,47.38416309012876,39.95841476655809,66.04119080779945,38.00537007595831,22.304601323668454
4,Marcus Rashford,Man Utd,Midfielder,39.417819023163375,42.796489225148804,38,35,34.79517806492279,83.92759898576166,0.0,,0.0,36.03140694874442,45.530667246250815,51.18975324919948,78.22033088862358,,0.0,59.65095711529901,48.76191387559809,4.859914163090129,,,17.415282499595275,32.56680869194717,,,63.0972388556221,,21.52064121632788,31.813121798049913,61.00862038509097,36.41865380197566,32.00452216922805,96.93737666860127,,50.716449511400654,50.19167326262467,47.435786953919816,51.74667507091081,10.664531926916558,79.85338837289302,50.79828359664521,68.56349991471943,9.719828326180258,2.5204629767027753,3.286012768427162,,33.81732138754882,24.485495675316038,16.498688683827105,91.66953557733278,27.08995215311005,43.06955009780483
5,Ivan Toney,Brentford,Forward,35.60521263205694,40.99994181873224,38,33,0.0,,0.0,,0.0,1.206178099701747,,11.011879114302815,9.938794616734933,45.8574872857412,33.16235554851987,102.05819742489271,8.871204735376045,62.75848728537275,18.83499667332003,43.079909341104106,15.962932185784242,24.08896942956193,,,30.004239533651297,,70.23597518952448,,22.91484539420431,10.29248058172203,,17.673914223669925,,0.0,54.534021327829386,48.28415486952073,234.94991294254208,0.0,42.12515434541713,5.332265963458279,92.76208308952604,71.37239730493371,47.38416309012876,57.63232899022802,11.705995864920746,51.46240290861015,18.00254372019078,9.241697581243509,42.82483454144343,15.771030640668526,21.660246174318033
6,Ollie Watkins,Aston Villa,Forward,34.09982244065689,35.02143926337734,38,37,49.222342968919804,,9.649424797613976,,14.485246460856217,28.68095615007124,,0.0,20.52023321777498,10.83598086124402,103.27317596566525,55.90646319569122,55.56324018629409,16.56465769455822,47.642725298588495,,77.90574475404198,4.000565271153507,,52.089568185190686,27.313990351481742,,31.21712130005804,,49.91274118429808,34.83056499919055,,0.0,,1.7925597593794524,56.97530274603446,90.46335747763104,0.0,7.885515320334263,7.289871244635194,93.00883572567784,57.099779388591244,20.981899746440416,36.423907839617,85.14688481242771,19.248470131131622,39.432153221125944,0.0,34.083763329893365,17.002402402402403,37.806944650541624,1.5368621064060806
7,Gabriel Martinelli Silva,Arsenal,Midfielder,34.03161586754294,35.92226119351754,38,36,0.0,,0.0,,0.0,47.38416309012876,,6.625863077823289,0.0,39.41353407803142,27.267010663914693,44.628589688964645,,58.0121632787969,23.00325030913266,,71.37472423573905,23.821362649294247,50.4092595340555,31.07774451097805,24.52842343190808,3.286012768427162,33.410940988835726,,10.081851906811101,35.48481894150418,,18.347978850417878,,82.6185407725322,123.05585742229951,28.240832473340216,20.614437232863704,7.730173590793837,36.423907839617,14.66550105229076,,20.58496116344406,51.86565828717512,46.3527886747399,20.768963317384372,52.24153899721449,73.58527029572424,90.11058934762056,23.05293159609121,14.126247504990022,39.00551139374669
8,Gabriel Fernando de Jesus,Arsenal,Forward,33.80686547788649,49.41003415998795,38,26,43.91771410479659,,67.76540993417117,,30.763964355574878,34.019399141630906,,65.15432026526234,6.572025536854324,58.66200420916304,32.13611971104232,28.94827439284193,,51.46240290861015,9.00127186009539,,15.167128900094548,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,48.39911350324522,56.31983616149795,90.63623578695393,48.57947223571314,,10.29248058172203,62.72126118449085,85.94579566774689,69.53087719298246,21.685167130919222,98.11369372763232,70.48254018279232,41.495276872964176,98.88373253493016,38.00537007595831
9,Bukayo Saka,Arsenal,Midfielder,32.05702806086541,32.05702806086541,38,38,44.81399398448631,,19.48255535607421,,19.68893718756792,25.514549356223178,,56.31983616149795,11.501044689495068,40.330127893799585,37.00522875816994,14.474137196420966,,3.742720211535284,65.00918565624448,,12.490576741254335,53.021742671009775,25.20462976702775,18.83499667332003,67.1865511395743,31.21712130005804,55.08290271132377,,27.725092743730524,56.18429665738162,,11.588197168684975,,34.019399141630906,25.841730058682895,28.240832473340216,3.585119518758905,6.625863077823289,8.470676241771397,10.082531973449896,,17.7779210047926,116.99927567106947,32.83322531127409,29.798947368421054,51.25584958217271,52.25620644189113,40.14828238260322,6.147448425624322,21.660246174318033,36.00508744038156
10,Aleksandar Mitrovic,Fulham,Forward,29.941384592411065,47.40719227131752,38,24,29.570682451253486,,42.005935347111816,,19.248470131131622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,27.313990351481742,24.380956937799045,,0.0,0.0,,47.435786953919816,,18.773278720499317,19.313661947808292,,20.65463519313305,0.0,37.66999334664006,20.165063946899792,112.01582759229818,0.0,0.0,84.85558688232676,57.07648322591308,110.9111320399322,57.63232899022802,0.0,0.0,57.600598444045495,41.52437318778782,39.37787437513584,53.327314495750066,116.48679425837321,30.473515909450693,69.95832978270133
11,Jarrod Bowen,West Ham,Midfielder,28.85291463330529,28.85291463330529,38,38,21.660246174318033,,54.26944306726162,,0.0,24.64223537604457,54.219210679048174,4.000565271153507,30.154452492543676,13.831758957654724,33.81732138754882,25.873337535455406,4.859914163090129,21.081657762667966,,,26.661329817291392,25.841730058682895,,25.412028725314187,23.17639433736995,,16.56465769455822,,9.719828326180258,58.81080278973142,,33.16235554851987,,5.614080317302926,55.08290271132377,5.202664828853665,44.26224218230207,8.001130542307013,37.456197771587746,9.221172638436483,33.77298679164892,29.33100210458152,87.43403718878034,71.7023903751781,50.4092595340555,18.773278720499317,23.17639433736995,31.993595780749672,39.37787437513584,1.694135248354279,36.14614045269878
12,Darwin Nunez Ribeiro,Liverpool,Forward,27.904506820578593,36.56452617868919,38,29,0.0,,0.0,,0.0,9.932982456140351,12.490576741254335,0.0,0.0,7.623608617594257,15.906560899024957,29.915322765908574,28.71207333723425,0.0,,,11.526465798045605,69.98394846796658,17.925597593794524,0.0,46.169184549356224,,33.606173022703665,,46.60655374386577,25.399141798322606,,0.0,,61.40389154704945,67.80598802395211,85.31625541533246,52.24584749878583,40.55869009039741,38.36288216823666,0.0,63.29841761265911,24.645095763203717,62.43197794624398,4.92223429689198,,59.65095711529901,0.0,0.0,0.0,44.00621798268857,99.92461393003468
13,Dominic Solanke,Bournemouth,Forward,27.783035033164012,31.99258579576462,38,33,5.881080278973142,,40.413266016713095,,16.002261084614027,4.417242051882193,,50.526722855726334,21.99825157843614,49.66491228070176,18.347978850417878,96.05848303393215,63.98904585959574,65.12943586511189,42.65812770766623,,9.649424797613976,24.71265793705491,,50.93319791062101,17.0293177141048,,57.103991416309015,,0.0,0.0,,0.0,,26.613614206128137,41.00579402932344,11.04310512970548,59.65095711529901,19.649281110560242,3.8627323895616583,50.638734090127286,20.165063946899792,37.471730223763004,26.36899534264804,7.223987240829347,12.149785407725323,19.48255535607421,37.6437549469685,2.412356199403494,0.0,0.0,45.8574872857412
14,Callum Wilson,Newcastle,Forward,27.438856407718056,33.63472720946084,38,31,2.2086210259410963,,29.194244843646047,71.37239730493371,61.75488349033218,5.202664828853665,,86.15981868220821,36.966790324974035,20.279345045198706,2.1329063853833117,10.83598086124402,52.58637770897833,32.52775069637883,0.0,,1.7925597593794524,9.858038305281486,,,20.5050276949297,,0.0,,34.083763329893365,31.004380851439674,,79.4043807122597,,19.509993108201243,1.871360105767642,0.0,0.0,4.582969078840862,87.44916180071577,50.215521064301555,37.806944650541624,12.813962395543177,28.895948963317387,42.82483454144343,0.0,0.0,0.0,0.0,124.86848520023216,2.46111714844599,41.50631358467984
15,Kai Havertz,Chelsea,Forward,27.135517687268642,29.46141920332024,38,35,2.4299570815450644,26.613614206128137,31.21712130005804,,0.0,9.221172638436483,,67.63464277509765,0.0,,0.0,12.547918315656167,82.0201107797188,63.987191561499344,65.53203739427215,,42.37874251497007,19.649281110560242,,7.725464779123317,7.33275052614538,,11.685861713106297,,11.598392688307596,16.88649339582446,,57.008055113937466,40.14828238260322,34.5031340684852,37.270975463794144,37.65312160694897,4.859914163090129,29.915322765908574,66.45016300804174,0.0,24.380956937799045,20.26261066114146,49.29539338293494,23.00325030913266,,18.50261437908497,21.081657762667966,5.650499001996009,7.485440423070568,35.73027460344534,39.48725330167681
16,Bruno Borges Fernandes,Man Utd,Midfielder,25.270317235253884,25.95329878215264,38,37,30.334257800189096,38.65086795396918,21.516069489685126,,42.12515434541713,7.790574475404198,27.07228863290589,55.4555660199661,29.93617601910285,,54.21232794733693,26.044784092595343,6.320988835725679,2.4299570815450644,,,16.498688683827105,16.88649339582446,,,24.485495675316038,,43.97696248553959,21.52064121632788,21.002967673555908,5.202664828853665,35.00494612259318,18.07307022634939,,27.66351791530945,28.68095615007124,40.6592459605027,28.549889694295622,0.0,11.685861713106297,13.251726155646578,41.52437318778782,17.009699570815453,5.040925953405551,31.21712130005804,,27.313990351481742,3.766999334664006,84.32663105067186,25.32974009373669,19.865964912280702,9.84446859378396
