,Teams,Opponent xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,91.58850558838598,38,167.40727824109177,177.2512870460554,140.84594841777943,,115.66379449838189,50.486048671744385,70.03177925784968,42.99528377298162,55.053326509723654,,162.0463139635733,46.285152452496696,,40.19156040489024,,,35.29496990541703,67.67405142460044,,156.61417945141795,79.6824462640737,58.67525588536337,61.01321093594093,,109.05409105380454,62.089650445510635,106.35027061445402,80.3210876311512,,104.59882933967442,40.08151294498382,110.43823146944085,232.86781652767252,63.361470823341335,150.99770164787512,82.71726728815919,,90.05886683317998,31.27375165709236,144.74529333530373,73.73145990404387,65.53270804230692,91.2726202661208,34.077901977644025,151.87316191799863,44.74690841469084,82.96072312083732
2,Arsenal,117.03946123151952,38,50.44784098697739,,92.72139201637668,,108.71412272158065,112.52778318276583,,132.56089262849827,138.12871493803001,190.14441007512156,144.37320647002858,208.40068358091236,,126.21512167936098,146.0481513327601,,93.9107513988809,118.44769874476988,146.58381877022654,35.6010841283608,106.20818199960088,86.42277886497065,143.79855951478396,,138.5675161812298,61.07749371952122,,153.21649156319646,,68.46095899930509,118.16752469737027,77.5736631779258,133.23404158099157,90.09998170843242,91.2726202661208,166.37635881573135,,226.1354263421884,82.61598527671883,81.11461318051578,84.77676269901443,107.93146150435942,64.40283376571543,148.22058353317348,61.85602045560205,92.07176929748483,219.07222699914018
3,Newcastle,122.41451266589247,38,184.34249131150543,,30.69058976582828,40.17695839710589,129.370499721345,100.68963664278405,,112.58550596553249,109.93786407766991,76.60824578159823,181.9097585312313,168.4804018195603,80.8058991436727,45.18061179252255,73.88735926305017,,103.48275074251772,98.97993476842794,,,103.45605363481006,,161.8785216178522,,91.58001902949573,69.37287188306105,,49.78401278976819,,158.6405066530195,103.07568270481146,173.09492627927148,57.995390524967995,241.43336279275303,83.61069646777091,228.02219038522767,27.48446601941748,126.33837741983157,126.62858225928736,72.4131095123901,106.6029288702929,271.4061478933792,249.3365321414487,152.63705734521363,235.6313372472277,157.5566995964937,66.64350051177074
4,Brighton,122.57672425320051,38,148.01353023348634,98.24127853881281,61.296553247901024,208.53050729673387,82.57998976458548,180.9394012944984,100.40135953893899,97.01507882111036,197.03295803480043,,72.49423815620999,85.62098057943332,139.50506741050677,137.35981804397272,,110.7531814273431,125.16332899869963,54.94801141769744,,,56.57274180655477,,88.84595872742908,,123.7120409112041,131.35572419774502,,57.3101879847509,,129.40602750809063,191.96225690890483,188.89346000883785,112.98742765914987,162.9853324194654,194.69881104810685,122.61693411611222,26.07789150460594,114.82422289613345,68.49678446354665,170.44198764296047,,110.4861231569818,107.48820943245406,130.42229240200635,193.9341579448145,38.55847116052815,235.94319491650666
5,Liverpool,125.30844143821912,38,220.1672116659302,,93.7795649570944,,105.57562879444927,40.778695981804404,113.14548361310953,106.35027061445402,78.6510751665081,163.71120777891508,90.45417053687537,87.65069089048107,121.1689409182367,169.15227658186564,,,78.96513249651326,71.11762967341512,55.62197852410328,41.380309544282035,113.31469075747049,,51.53337378640777,,115.12456020105097,120.13330894457656,,189.06803951579244,,195.30849128127372,119.07948829141371,212.41636399920176,173.88205921343354,173.94578159821717,168.28682890581462,210.07190378710342,122.82496669838251,184.66405740378346,186.1671699078813,105.56298872965077,,199.26237864077672,26.75485753995831,65.80427708042771,132.19512339293635,90.06302665520208,168.5867705835332
6,Chelsea,136.448551500067,38,107.80633773453789,233.43316092803317,85.68412263535552,,121.69682702149439,144.76940957694097,,182.5452405322416,69.7530326004549,,182.76577153193267,137.11464473383597,49.12301827264363,44.06509678706845,120.24453883495147,,169.4120555073721,102.02389002415012,,83.8184336198663,100.07600530269555,,146.52803044719317,,108.61966426858515,104.9446299461023,,164.30417024935514,105.22529976019186,105.62784083496413,250.63751279426822,111.86727103672712,127.4790271021543,110.83103889457524,196.94587449561712,106.25810551204377,165.2610310841547,250.83208940331272,109.95042266392508,86.41182287188307,,105.58637488106567,171.38015908086612,238.15897658282742,184.06371911573476,153.21649156319646,146.58381877022654
7,Aston Villa,137.78666449215152,38,82.71726728815919,,139.1818851058236,,63.0891435848456,69.85085675119946,,142.23525934683025,36.20655475619505,159.895413191812,51.935899930507304,85.47753326509725,104.34800520381614,251.6585695994147,157.93026499302653,,159.4569743101808,19.473086844368016,,195.82682038834952,141.9796315250768,,170.62958904109593,,158.36344319167392,123.84405656208574,,180.90834107375073,,160.39826365090246,67.59551098376315,166.7205468647299,85.0806177821066,112.95152948130637,191.21854065323146,166.33415466262323,273.81207034372505,106.6700932869947,104.31156601842376,94.66134125952073,88.8174547061423,149.94721461187217,265.12523029682706,82.96072312083732,243.4135855546002,261.102427184466,119.76378428637844
8,Crystal Palace,146.75186459765712,38,120.2480552712385,,133.51167066346926,,64.48819153881917,76.60824578159823,,136.83132254995246,113.8310258167695,97.34081715210357,126.34595669465314,166.18324354449194,,62.608803122289686,130.3894575230297,96.10958675386115,99.71859099804307,93.7795649570944,,72.94023925331932,135.21357088703564,,149.67886461666902,,133.03180138909417,177.05420430854764,104.58474951972812,175.02180354856412,,169.43941419929962,113.18335657833568,435.6101119104717,126.04314227226205,46.32871550903902,217.66531153336283,161.4712378640777,150.0499885766507,254.11808326105813,159.8724874605239,165.70111578562285,,324.20592077831833,131.99420015163005,183.92540117416831,124.28617042506487,223.28644669383468,123.86998464687822
9,Man Utd,149.72809644915316,38,124.46003197442049,150.1666361807207,156.61417945141795,,76.31852867260682,152.992502378687,141.01324613886186,67.79245659548992,178.4521489971347,,62.29718526100308,80.16302588996764,60.094920394238066,232.13773453787357,,,162.6235086168803,202.44637833574345,,,153.45294882914138,,175.649377670444,93.60954857885939,141.1798796216681,202.10365916069605,125.3579965606191,70.17234181343771,,131.60855416085542,197.91076079506513,181.0964687819857,271.54916067146286,82.48082219117941,188.54709800190298,79.74366197183099,110.85663801337155,86.55983321751218,180.9394012944984,270.348180039139,,156.46734902763563,83.47840416305291,265.2014140521432,212.86641251478906,217.844086429113,163.07118408237096
10,West Ham,154.55388015355123,38,162.0463139635733,,120.95615827605427,,342.32642153146327,128.0117334121472,134.43543378995435,223.9404987102322,128.76185092677798,202.67717340771736,120.2480552712385,155.00931254996007,154.2338846421126,96.32315510384447,,,193.20850129714628,191.43139000973983,,114.45296827021497,140.59866284622734,,115.99078104993599,,63.73951355107715,101.92156148867315,,157.81119488233952,,219.82467025822035,163.11478392721762,159.3648925281474,121.53473547267998,245.8477214101462,151.43871730456632,115.81552766155278,206.91210726962012,173.88205921343354,112.01402877697844,201.79136394790956,90.4697006472492,156.38042802268157,164.03177332059857,101.68868489323489,111.07747321552806,210.07190378710342,119.66230919765168
