GW9,GW8,GW7,GW6,GW5,GW4,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW3,GW29,GW28,GW27,GW26,GW25,GW24,GW23,GW22,GW21,GW20,GW2,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW1
0,1,0,1,0,1,1,0,0,1,0,1.0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,,1,1.0,0.0,0.0,1,0,1,1,0.0,1,0.0
1,0,1,1,0,1,1,0,0,1,0,1.0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0.0,1,1.0,0.0,0.0,1,0,1,0,,0,
0,1,0,1,0,0,0,1,1,0,1,0.0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,,0,0.0,1.0,1.0,0,1,0,0,1.0,1,1.0
1,0,1,1,0,0,0,1,1,0,1,0.0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0.0,0,1.0,,1.0,0,1,0,0,1.0,0,
0,1,0,0,1,1,0,1,1,0,1,0.0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0.0,0,,1.0,1.0,0,1,0,0,1.0,1,0.0
0,1,0,0,1,0,0,1,1,0,1,0.0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,,0,0.0,1.0,1.0,0,1,0,1,0.0,1,1.0
0,1,0,0,1,1,0,1,1,0,1,0.0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,,0,0.0,1.0,,0,1,0,1,0.0,1,0.0
1,0,1,1,0,0,1,0,0,1,0,,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1.0,1,,,,1,0,1,1,0.0,0,1.0
0,1,0,0,1,1,1,0,0,1,0,1.0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1.0,1,,0.0,0.0,1,0,1,1,0.0,1,0.0
1,0,1,0,1,1,1,0,0,1,0,1.0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1.0,1,,0.0,0.0,1,0,1,1,0.0,0,0.0
1,0,1,1,0,0,1,0,0,1,0,1.0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1.0,1,,0.0,0.0,1,0,1,0,1.0,0,1.0
0,1,0,0,1,0,1,0,0,1,0,,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1.0,1,1.0,0.0,,1,0,1,0,1.0,1,
1,0,1,1,0,1,0,1,1,0,1,0.0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0.0,0,0.0,1.0,1.0,0,1,0,1,0.0,0,
1,0,1,0,1,1,0,1,1,0,1,0.0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,,0,0.0,1.0,1.0,0,1,0,1,,0,0.0
1,0,1,0,1,0,1,0,0,1,0,1.0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,,1,1.0,0.0,0.0,1,0,1,0,1.0,0,1.0
0,1,0,1,0,1,0,1,1,0,1,,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0.0,0,,1.0,1.0,0,1,0,1,0.0,1,0.0
1,0,1,0,1,0,0,1,1,0,1,,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,,0,0.0,1.0,,0,1,0,0,1.0,0,1.0
0,1,0,0,1,0,0,1,1,0,1,0.0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0.0,0,,1.0,1.0,0,1,0,0,1.0,1,1.0
0,1,0,1,0,0,1,0,0,1,0,1.0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1.0,1,,0.0,0.0,1,0,1,0,1.0,1,1.0
1,0,1,1,0,1,1,0,0,1,0,1.0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,,1,1.0,0.0,0.0,1,0,1,1,0.0,0,0.0
