name_un,name_fpl,id_fpl,web_name_fpl
Aaron Connolly,Aaron Connolly,72,Connolly
Aaron Cresswell,Aaron Cresswell,411,Cresswell
Aaron Lennon,Aaron Lennon,575,Lennon
Aaron Ramsdale,Aaron Ramsdale,559,Ramsdale
Aaron Wan-Bissaka,Aaron Wan-Bissaka,288,Wan-Bissaka
Abdoulaye Doucoure,Abdoulaye Doucoure,173,Doucoure
Adam Armstrong,Adam Armstrong,525,A.Armstrong
Adam Idah,Adam Idah,329,Idah
Adam Lallana,Adam Lallana,53,Lallana
Adam Masina,Adam Masina,390,Masina
Adam Webster,Adam Webster,61,Webster
Adama Traore,Adama Traore,435,Traore
Ademola Lookman,Ademola Lookman,587,Lookman
Ainsley Maitland-Niles,Ainsley Maitland-Niles,13,Maitland-Niles
Albert Sambi Lokonga,Albert Sambi Lokonga,478,Sambi Lokonga
Alex Iwobi,Alex Iwobi,174,Iwobi
Alex McCarthy,Alex McCarthy,334,McCarthy
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,227,Chamberlain
Alexandre Lacazette,Alexandre Lacazette,6,Lacazette
Alexis Mac Allister,Alexis Mac Allister,74,Mac Allister
Alisson,Alisson Ramses Becker,231,Alisson
Allan,Allan Marques Loureiro,171,Allan
Allan Saint-Maximin,Allan Saint-Maximin,307,Saint-Maximin
Andre Gomes,Andre Filipe Tavares Gomes,172,Andre Gomes
Andreas Christensen,Andreas Christensen,133,Christensen
Andrew Omobamidele,Andrew Omobamidele,331,Omobamidele
Andrew Robertson,Andrew Robertson,234,Robertson
Andriy Yarmolenko,Andriy Yarmolenko,412,Yarmolenko
Andros Townsend,Andros Townsend,482,Townsend
Angelo Ogbonna,Angelo Ogbonna,409,Ogbonna
Anthony Gordon,Anthony Gordon,503,Gordon
Anthony Martial,Anthony Martial,278,Martial
Antonio Rudiger,Antonio Rudiger,127,Rudiger
Anwar El Ghazi,Anwar El Ghazi,42,El Ghazi
Armando Broja,Armando Broja,518,Broja
Ashley Barnes,Ashley Barnes,105,Barnes
Ashley Westwood,Ashley Westwood,107,Westwood
Ashley Young,Ashley Young,52,Young
Asmir Begovic,Asmir Begovic,481,Begovic
Axel Tuanzebe,Axel Tuanzebe,283,Tuanzebe
Aymeric Laporte,Aymeric Laporte,259,Laporte
Ayoze Perez,Ayoze Perez,211,Perez
Bali Mumba,Bali Mumba,515,Mumba
Ben Davies,Ben Davies,364,Davies
Ben Foster,Ben Foster,376,Foster
Ben Gibson,Ben Gibson,456,Gibson
Ben Godfrey,Ben Godfrey,179,Godfrey
Ben Johnson,Ben Johnson,425,Johnson
Ben Mee,Ben Mee,106,Mee
Ben White,Ben White,67,White
Benjamin Mendy,Benjamin Mendy,253,Mendy
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,261,Bernardo
Bernd Leno,Bernd Leno,1,Leno
Bertrand Traore,Bertrand Traore,32,Traore
Billy Gilmour,Billy Gilmour,145,Gilmour
Boubakary Soumare,Boubakary Soumare,458,Soumare
Brandon Williams,Brandon Williams,290,Williams
Bruno Fernandes,Bruno Miguel Borges Fernandes,277,Fernandes
Bryan Gil Salvatierra,Bryan Gil Salvatierra,487,Bryan
Bryan Mbeumo,Bryan Mbeumo,96,Mbeumo
Bukayo Saka,Bukayo Saka,22,Saka
Caglar Soyuncu,Caglar Soyuncu,217,Soyuncu
Callum Hudson-Odoi,Callum Hudson-Odoi,140,Hudson-Odoi
Callum Wilson,Callum Wilson,296,Wilson
Calum Chambers,Calum Chambers,10,Chambers
Carney Chukwuemeka,Carney Chukwuemeka,526,Chukwuemeka
Cedric Soares,Cedric Soares,5,Cedric
Cesar Azpilicueta,Cesar Azpilicueta,119,Azpilicueta
Charlie Taylor,Charlie Taylor,113,Taylor
Che Adams,Che Adams,345,Adams
