assists,goals,h_a,id,key_passes,own_goals,player,Understat_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,minutes,creativity,threat,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,team,opponent_team,fixture,round,in_FPL,element
0,0,a,475196,0,0,Folarin Balogun,9690,FW,15,0,475198,0,3,83,60,0.0,15.745480358600616,0,0.15745480358600616,0,Brentford,Arsenal,Arsenal,Brentford,3,1,1,3,1,1,1,530.0
0,0,a,475197,0,0,Nuno Varela Tavares,9691,Sub,17,0,0,475187,1,83,8,0.0,1.4194582588970661,0.03743357956409454,0.05162816122174263,0,Brentford,Arsenal,Arsenal,Brentford,3,1,1,3,1,1,1,466.0
0,0,a,475198,1,0,Bukayo Saka,7322,Sub,17,0,0,475196,0,83,30,4.457394406199455,0.0,0.14906448125839233,0.14906448125839233,0,Brentford,Arsenal,Arsenal,Brentford,3,1,1,3,1,1,1,22.0
0,0,a,475199,1,0,Reiss Nelson,6492,Sub,17,0,0,475195,1,83,18,6.058930233120918,3.7433579564094543,0.014194582588970661,0.11221746355295181,0,Brentford,Arsenal,Arsenal,Brentford,3,1,1,3,1,1,1,531.0
0,0,h,475262,0,0,David de Gea,546,GK,1,0,0,0,0,89,90,0.0,0.0,0.3786909580230713,0.3786909580230713,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,270.0
0,0,h,475263,0,0,Aaron Wan-Bissaka,5584,DR,2,0,0,0,0,89,90,0.0,0.0,0.4774770736694336,0.4774770736694336,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,288.0
1,0,h,475264,1,0,Victor Lindelof,6080,DC,3,0,0,0,0,89,90,36.19175851345062,0.0,0.9150717854499817,0.9150717854499817,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,284.0
0,0,h,475265,0,0,Harry Maguire,1687,DC,3,0,0,0,1,89,90,0.0,2.4532323703169823,0.48809555172920227,0.48809555172920227,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,273.0
0,0,h,475266,2,0,Luke Shaw,1006,DL,4,0,0,0,1,89,90,12.942400574684143,4.379472136497498,0.3447558879852295,0.38855060935020447,1,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,275.0
0,1,h,475267,0,0,Frederico Rodrigues de Paula Santos,6817,DMC,7,0,0,0,1,89,90,0.0,14.197936654090881,0.2705850601196289,0.41256439685821533,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,274.0
0,0,h,475268,1,0,Scott McTominay,5560,DMC,7,0,475274,0,1,89,70,1.6773398965597153,5.475971102714539,0.9272615909576416,0.998794674873352,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,285.0
0,0,h,475269,1,0,Daniel James,5595,AMR,11,0,475275,0,3,89,76,2.128627523779869,22.504566609859467,0.11984071135520935,0.3190056383609772,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,287.0
0,3,h,475270,3,0,Bruno Miguel Borges Fernandes,1228,AMC,12,0,0,0,4,89,90,11.761819571256638,78.37153673171997,0.2636444568634033,1.16497802734375,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,277.0
4,0,h,475271,5,0,Paul Pogba,1740,AML,13,0,475273,0,2,89,76,71.7875599861145,24.903321266174316,0.2362525910139084,0.9669087529182434,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,272.0
0,1,h,475272,1,0,Mason Greenwood,7490,FW,15,0,0,0,3,89,90,22.996944189071655,11.961770802736282,0.2766026258468628,0.6261897683143616,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,289.0
0,0,h,475273,0,0,Anthony Martial,553,Sub,17,0,0,475271,0,89,14,0.0,0.0,0,0,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,278.0
0,0,h,475274,0,0,Nemanja Matic,697,Sub,17,0,0,475268,0,89,20,0.0,0.0,0,0,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,271.0
0,0,h,475275,0,0,Jadon Sancho,6345,Sub,17,0,0,475269,0,89,14,0.0,0.0,0,0,0,Man Utd,Leeds,Man Utd,Leeds,13,10,13,10,6,1,1,485.0
0,0,a,475276,0,0,Illan Meslier,8715,GK,1,0,0,0,0,245,90,0.0,0.0,0.022880351170897484,0.022880351170897484,0,Man Utd,Leeds,Leeds,Man Utd,13,10,10,13,6,1,1,199.0
0,1,a,475277,0,0,Luke Ayling,8716,DR,2,0,0,0,2,245,90,0.0,5.290886759757996,0,0.021045027300715446,0,Man Utd,Leeds,Leeds,Man Utd,13,10,10,13,6,1,1,185.0
