chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,full_name
100.0,100.0,115382,0,0,-4,4,1,4,2.8,3.3,2,Neal,2.8,68,False,,2020-11-28T15:00:19.358197Z,61,115382.jpg,3.6,Maupay,2.9,False,,a,3,36,76,859589,6264,826577,18811,0.5,12.5,Maupay,1529,7,1,6,24,0,0,1,1,0,0,10,239,313.6,218.0,738.0,126.5,122,12,100,10,13,8,30,9,,,,,2.0,,Neal Maupay
100.0,100.0,116216,0,0,-3,3,2,3,4.2,4.7,1,Leandro,4.2,69,False,,2020-11-07T00:00:21.373051Z,57,116216.jpg,3.8,Trossard,0.7,False,,a,3,36,75,279615,1810,285646,3351,0.7,13.2,Trossard,1463,2,5,7,21,0,0,0,1,0,0,7,240,281.2,483.8,372.0,113.6,144,54,17,13,51,29,39,25,3.0,,,,,,Leandro Trossard
0.0,0.0,165210,0,0,-1,1,0,3,0.0,0.0,0,Alireza,0.0,71,False,Knock - Expected back 06 Feb,2021-01-11T22:30:26.203805Z,54,165210.jpg,1.2,Jahanbakhsh,0.0,False,,i,3,36,13,2046,26,4797,44,0.0,2.4,Jahanbakhsh,249,0,1,0,6,0,0,0,2,0,0,0,62,51.4,94.5,143.0,28.8,363,159,211,128,158,84,286,132,,,,,,,Alireza Jahanbakhsh
100.0,100.0,167473,0,0,0,0,0,3,0.0,0.5,0,José,0.0,72,False,,2020-08-15T10:00:11.482611Z,55,167473.jpg,0.0,Izquierdo,0.0,False,,a,3,36,0,10224,15,10209,15,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,655,265,656,266,656,266,660,266,,,,,,,José Izquierdo
0.0,0.0,178173,0,0,-1,1,0,2,0.0,0.0,0,Matthew,0.0,73,False,Joined Derby County on loan until the end of the season on 26/8. - Expected back 01 Jul,2020-08-26T10:30:05.746418Z,44,178173.jpg,0.0,Clarke,0.0,False,,u,3,36,0,339,0,706,0,0.0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,560,218,548,219,531,213,569,218,,,,,,,Matthew Clarke
100.0,100.0,198869,0,0,-1,1,0,2,5.0,5.5,2,Ben,5.0,74,False,,2020-09-14T21:30:11.221083Z,44,198869.jpg,2.9,White,1.6,False,,a,3,36,63,144107,9705,146041,4272,1.1,14.3,White,1939,0,0,7,29,0,0,0,2,0,0,2,348,299.0,120.8,67.0,48.9,131,53,185,42,255,80,197,55,,,,,,,Ben White
0.0,0.0,209362,0,0,-1,1,0,2,0.0,0.0,0,Bernardo,0.3,75,False,Joined Red Bull Salzburg on loan until the end of the season on 19/1,2021-01-20T23:30:17.856679Z,39,209362.jpg,1.7,Fernandes da Silva Junior,5.3,False,,u,3,36,5,319447,0,819321,10360,0.1,1.3,Bernardo,205,0,0,0,3,0,0,0,0,0,0,0,30,27.2,32.4,69.0,12.8,400,157,322,105,253,78,358,129,,,,,,,Bernardo Fernandes da Silva Junior
100.0,100.0,227127,0,0,-1,1,0,3,1.8,2.3,2,Yves,1.8,76,False,,2021-01-02T20:30:19.121459Z,44,227127.jpg,2.1,Bissouma,1.6,False,,a,3,36,44,320313,2148,507687,3443,0.4,10.0,Bissouma,1762,1,0,6,26,0,0,0,6,1,0,2,261,293.6,162.1,116.0,56.9,136,50,149,94,185,96,156,82,,,2.0,,,,Yves Bissouma
0.0,0.0,232792,0,0,1,-1,0,2,0.0,0.0,0,Tariq,0.0,77,False,Hamstring injury - Expected back 22 Feb,2020-12-18T14:00:20.367107Z,46,232792.jpg,3.2,Lamptey,2.8,False,,i,3,36,35,1220435,143,1264616,6097,0.0,7.6,Lamptey,887,1,3,2,15,0,0,0,2,1,0,2,156,147.8,162.9,156.0,46.7,250,94,148,32,149,28,206,61,,,,,,,Tariq Lamptey
100.0,100.0,233425,0,0,-3,3,0,4,0.7,1.2,2,Aaron,0.7,78,False,,2021-01-02T20:30:19.147753Z,52,233425.jpg,2.4,Connolly,0.3,False,,a,3,36,34,79653,686,104223,519,0.1,6.5,Connolly,655,2,1,1,14,0,0,0,0,0,0,2,84,99.8,62.9,250.0,41.0,306,35,255,39,86,34,226,35,,,,,,,Aaron Connolly
