assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,name,opponent_team,own_goals,penalties_missed,penalties_saved,position,red_cards,round,saves,selected,starts,team,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,12,1,15.0,3,0.06,0.06,0.00,1.21,1,0,0,3.4,16.6,2022-08-05T19:00:00Z,90,Granit Xhaka,7,0,0,0,Midfielder,0,1,0,48303,1,1,2,0,2.0,2,0,0,0,50,False,1
1,2,35,0,25.5,3,0.10,0.49,0.38,0.46,11,2,1,10.8,54.8,2022-08-13T14:00:00Z,90,Granit Xhaka,10,0,0,0,Midfielder,0,2,0,65418,1,1,2,4,28.0,12,-629,9001,9630,50,True,0
1,0,25,1,34.0,3,0.11,0.11,0.00,0.26,21,0,0,6.6,25.8,2022-08-20T16:30:00Z,87,Granit Xhaka,3,0,0,0,Midfielder,0,3,0,216726,1,1,3,0,6.0,6,112040,137326,25286,50,False,0
0,0,9,0,25.0,3,0.07,0.16,0.09,0.83,31,1,0,4.5,8.2,2022-08-27T16:30:00Z,90,Granit Xhaka,9,0,0,0,Midfielder,0,4,0,267951,1,1,1,2,12.0,2,42760,77459,34699,50,True,0
0,0,14,0,25.0,3,0.04,0.04,0.00,0.45,41,1,0,4.6,12.6,2022-08-31T18:30:00Z,90,Granit Xhaka,2,0,0,0,Midfielder,0,5,0,288460,1,1,1,2,8.0,2,10781,49435,38654,50,True,0
0,0,18,0,14.9,3,0.13,0.29,0.16,1.55,56,3,0,7.6,15.2,2022-09-04T15:30:00Z,90,Granit Xhaka,14,0,0,0,Midfielder,0,6,0,308627,1,1,1,3,46.0,2,8776,50721,41945,50,False,0
1,0,24,1,36.2,3,0.25,0.29,0.04,0.53,72,0,0,6.4,25.0,2022-09-18T11:00:00Z,90,Granit Xhaka,4,0,0,0,Midfielder,0,8,0,302039,1,1,3,0,3.0,5,-3612,11300,14912,50,False,1
0,2,29,0,20.2,3,0.17,0.50,0.33,1.57,81,1,1,8.7,36.2,2022-10-01T11:30:00Z,90,Granit Xhaka,18,0,0,0,Midfielder,0,9,0,317511,1,1,1,3,31.0,9,7375,32640,25265,51,True,0
0,0,8,0,7.3,3,0.25,0.32,0.08,1.13,91,2,0,4.2,16.6,2022-10-09T15:30:00Z,90,Granit Xhaka,12,0,0,0,Midfielder,0,10,0,390185,1,1,2,3,18.0,2,63525,83754,20229,51,True,0
0,0,15,1,2.8,3,0.02,0.02,0.00,1.86,104,0,0,1.3,8.6,2022-10-16T13:00:00Z,90,Granit Xhaka,11,0,0,0,Midfielder,0,11,0,381694,1,1,1,0,2.0,3,-8549,26252,34801,51,False,0
