iter	Passed	Remaining
0	82	82714
1	153	76639
2	223	74278
3	291	72581
4	361	71862
5	431	71487
6	499	70790
7	568	70481
8	638	70274
9	703	69685
10	772	69426
11	836	68870
12	903	68604
13	972	68524
14	1043	68507
15	1116	68687
16	1190	68864
17	1263	68906
18	1334	68891
19	1405	68866
20	1476	68813
21	1544	68668
22	1612	68487
23	1678	68267
24	1748	68172
25	1815	68009
26	1884	67920
27	1952	67791
28	2022	67719
29	2091	67633
30	2159	67501
31	2228	67410
32	2299	67369
33	2368	67306
34	2437	67200
35	2503	67036
36	2571	66927
37	2638	66796
38	2708	66729
39	2776	66638
40	2844	66536
41	2912	66430
42	2980	66328
43	3048	66245
44	3116	66137
45	3184	66040
46	3252	65953
47	3319	65844
48	3387	65746
49	3455	65661
50	3525	65601
51	3593	65503
52	3662	65441
53	3730	65355
54	3800	65306
55	3870	65248
56	3940	65198
57	4009	65125
58	4074	64984
59	4140	64868
60	4206	64754
61	4273	64651
62	4342	64580
63	4411	64521
64	4479	64433
65	4549	64379
66	4617	64305
67	4685	64215
68	4750	64097
69	4820	64038
70	4887	63949
71	4958	63912
72	5027	63845
73	5096	63772
74	5162	63676
75	5231	63599
76	5295	63476
77	5363	63402
78	5432	63339
79	5500	63254
80	5566	63160
81	5635	63087
82	5703	63018
83	5769	62910
84	5836	62823
85	5902	62728
86	5971	62669
87	6037	62567
88	6104	62487
89	6171	62402
90	6236	62300
91	6307	62250
92	6374	62170
93	6439	62064
94	6506	61979
95	6575	61919
96	6645	61863
97	6711	61769
98	6779	61701
99	6849	61646
100	6918	61581
101	6986	61510
102	7052	61414
103	7120	61345
104	7184	61237
105	7250	61146
106	7318	61074
107	7386	61004
108	7451	60908
109	7515	60803
110	7581	60721
111	7649	60648
112	7715	60559
113	7782	60486
114	7851	60425
115	7918	60344
116	7987	60280
117	8057	60226
118	8124	60148
119	8192	60077
120	8256	59980
121	8322	59893
122	8390	59824
123	8455	59732
124	8522	59659
125	8593	59607
126	8659	59523
127	8723	59430
128	8789	59345
129	8858	59284
130	8926	59215
131	8994	59146
132	9057	59041
133	9120	58943
134	9186	58864
135	9255	58798
136	9322	58723
137	9390	58655
138	9461	58606
139	9528	58534
140	9594	58453
141	9661	58376
142	9728	58300
143	9797	58242
144	9861	58146
145	9925	58057
146	9991	57980
147	10060	57915
148	10126	57837
149	10192	57756
150	10258	57676
151	10325	57607
152	10393	57537
153	10460	57464
154	10529	57401
155	10591	57304
156	10655	57212
157	10722	57140
158	10788	57063
159	10854	56988
160	10924	56927
161	10991	56855
