iter	Logloss
0	0.6440840746
1	0.599703584
2	0.5598775069
3	0.5250678414
4	0.493484027
5	0.4676459903
6	0.4413063425
7	0.4184450682
8	0.3947704167
9	0.3781721131
10	0.3614465716
11	0.3454269676
12	0.3323219051
13	0.3181583563
14	0.3059266229
15	0.293336442
16	0.2828976148
17	0.2738770698
18	0.2642142692
19	0.2553665717
20	0.2478722359
21	0.2411374441
22	0.2356050852
23	0.2298561178
24	0.2249356314
25	0.2198643399
26	0.2152364228
27	0.2113211753
28	0.2076971701
29	0.2042968417
30	0.2006260784
31	0.1974592911
32	0.1944183568
33	0.1914286199
34	0.1887450362
35	0.1865917315
36	0.1844133908
37	0.1823518801
38	0.1804567494
39	0.1788590643
40	0.1772711475
41	0.1758135371
42	0.1745976936
43	0.1733942064
44	0.1721997377
45	0.1709606543
46	0.1699826486
47	0.1689526739
48	0.1680568023
49	0.1671186188
50	0.1664645655
51	0.1658446013
52	0.1651828611
53	0.1645356275
54	0.1638694652
55	0.163352221
56	0.1628511418
57	0.1623099288
58	0.1618649119
59	0.1613999263
60	0.1610102911
61	0.1606146655
62	0.1601827583
63	0.15974115
64	0.159402469
65	0.1590049287
66	0.1586531886
67	0.1583699839
68	0.1581537975
69	0.1579260531
70	0.1577105201
71	0.157429491
72	0.1572290284
73	0.1570526612
74	0.1569167615
75	0.1567706713
76	0.1565337254
77	0.1563443086
78	0.1561929802
79	0.1560039872
80	0.1558773366
81	0.1557805898
82	0.1556051874
83	0.1554752273
84	0.1553173611
85	0.1552326186
86	0.155087101
87	0.154979711
88	0.1548765877
89	0.1548014134
90	0.1546639209
91	0.1545776171
92	0.154490248
93	0.1543800798
94	0.1543240552
95	0.1542694565
96	0.1541816077
97	0.1541500963
98	0.1541012363
99	0.1540525637
100	0.1540144474
101	0.1539275362
102	0.1538854782
103	0.1538434894
104	0.1538086585
105	0.153764537
106	0.1537434999
107	0.1536857441
108	0.1536275869
109	0.1535962716
110	0.1535545009
111	0.1535061069
112	0.1534582918
113	0.1534478038
114	0.1534298381
115	0.1534011416
116	0.1533707921
117	0.153352663
118	0.1533171348
119	0.1532642593
120	0.1532190125
121	0.1532051913
122	0.1531694361
123	0.153158994
124	0.1531435168
125	0.1531000354
126	0.1530699777
127	0.1530676405
128	0.1530321687
129	0.1530098258
130	0.152990117
131	0.152973909
132	0.1529596905
133	0.1529419465
134	0.152917426
135	0.1529018251
136	0.1528887052
137	0.1528737988
138	0.1528604735
139	0.152851759
140	0.1528123721
141	0.1528182402
142	0.1527775251
143	0.1527583158
144	0.1527521895
145	0.1527371616
146	0.1527155947
147	0.1527084442
148	0.1526917293
149	0.1526730939
150	0.1526678715
151	0.1526561662
152	0.1526513646
153	0.1526161852
154	0.1525982428
155	0.152585257
156	0.1525678788
157	0.1525561718
158	0.1525532683
159	0.1525421128
160	0.1525370448
161	0.1525307061
162	0.1525235365
163	0.1525169434
164	0.1524965352
165	0.1524925715
166	0.1524888221
167	0.152484094
168	0.1524810908
169	0.1524759454
170	0.1524566315
171	0.1524519419
172	0.1524462332
173	0.1524141783
174	0.1524135609
175	0.1524031778
176	0.1523894364
177	0.1523782394
178	0.1523782231
179	0.1523612791
180	0.1523540749
181	0.1523523603
182	0.1523458624
183	0.1523406004
184	0.1523323159
185	0.1523278255
186	0.1523194922
187	0.1523116333
188	0.1523125594
189	0.1523035951
190	0.1522956068
191	0.1522938581
192	0.1522867774
193	0.1522801524
194	0.1522642561
195	0.1522576612
196	0.1522519617
197	0.1522604278
198	0.1522529433
199	0.1522502002
200	0.1522347382
201	0.1522305689
202	0.1522261118
203	0.1522207695
204	0.1522115105
205	0.1522079865
206	0.1522048406
207	0.1522016242
208	0.1521951593
209	0.1521874619
210	0.1521823666
211	0.1521788548
212	0.1521740693
213	0.1521689301
214	0.1521650325
215	0.1521624985
216	0.1521602499
217	0.1521573937
218	0.1521502938
219	0.152146814
220	0.1521420015
221	0.1521394398
222	0.1521354773
223	0.1521329614
224	0.1521295304
225	0.1521268298
226	0.1521224256
227	0.1521230339
228	0.1521169384
229	0.1521128748
230	0.1521068276
231	0.1521018259
232	0.1520897665
233	0.1520853821
234	0.1520827828
235	0.1520792393
236	0.152078849
237	0.1520758428
238	0.1520726776
239	0.1520687168
240	0.1520647425
241	0.1520606485
242	0.1520557442
243	0.152056071
244	0.1520528455
245	0.1520381159
246	0.1520469356
247	0.1520424665
248	0.1520369761
249	0.1520327154
250	0.1520150915
251	0.1520142791
252	0.1520103697
253	0.1520081202
254	0.1520078297
255	0.1520049717
256	0.152003719
257	0.1520008473
258	0.151997631
259	0.1519995948
260	0.151996109
261	0.1519947868
262	0.1519911043
263	0.1519880985
264	0.1519869335
265	0.1519848093
266	0.1519840526
267	0.1519781629
268	0.1519787152
269	0.151973869
270	0.1519747234
271	0.1519667792
272	0.151962042
273	0.151959334
274	0.1519561037
275	0.1519535013
276	0.1519512986
277	0.1519482381
278	0.1519454497
279	0.1519430185
280	0.1519416181
281	0.151941158
282	0.1519107519
283	0.151936798
284	0.1519063084
285	0.1519031012
286	0.1518985397
287	0.1518972704
288	0.1518930008
289	0.1518903335
290	0.1518899308
291	0.1518872016
292	0.1518846009
293	0.1518828837
294	0.1518780648
295	0.1518792328
296	0.1518764067
297	0.1518738634
298	0.1518711928
299	0.1518685922
300	0.1518666255
301	0.1518638403
302	0.1518598992
303	0.1518575166
304	0.1518590672
305	0.1518568267
306	0.1518570913
307	0.1518561064
308	0.1518540942
309	0.1518387986
310	0.1518366716
311	0.1518353766
312	0.1518331737
313	0.1518324082
314	0.1518306453
315	0.1518266632
316	0.151821939
317	0.1518191052
318	0.1518171521
319	0.1518152414
320	0.1518112985
321	0.1518089429
322	0.1518214848
323	0.1518179084
324	0.1518083225
325	0.1518065614
326	0.1518043072
327	0.1518012417
328	0.1518008014
329	0.1517990889
330	0.1517962914
331	0.1517965063
332	0.1517932291
333	0.1517906527
334	0.1517885876
335	0.1517862819
336	0.1517842819
337	0.1517812316
338	0.1517787352
339	0.1517751541
340	0.1517714687
341	0.1517684894
342	0.1517674637
343	0.1517639082
344	0.1517614452
345	0.1517583862
346	0.1517568294
347	0.1517544422
348	0.1517534542
349	0.1517532272
350	0.1517502634
351	0.1517484085
352	0.1517450166
353	0.1517416412
354	0.1517406049
355	0.1517377001
356	0.1517371131
357	0.1517350843
358	0.1517336398
359	0.1517322145
360	0.151729508
361	0.1517282281
362	0.1517258195
363	0.15172365
364	0.1517222294
365	0.1517203701
366	0.151720293
367	0.1517174972
368	0.1517144924
369	0.1517127843
370	0.1517107797
371	0.1517097115
372	0.1517068506
373	0.1517044708
374	0.1517022905
375	0.1517013843
376	0.1517004826
377	0.1516999983
378	0.1516979907
379	0.1516964626
380	0.1516948136
381	0.151692216
382	0.1516892779
383	0.1516875651
384	0.1516854348
385	0.1516837279
386	0.1516806974
387	0.1516792662
388	0.1516752917
389	0.1516760245
390	0.1516733905
391	0.1516712466
392	0.1516705187
393	0.1516567633
394	0.1516570612
395	0.1516557116
396	0.1516533109
397	0.1516514817
398	0.1516484785
399	0.1516456554
400	0.1516457825
401	0.1516435087
402	0.1516422591
403	0.1516408839
404	0.1516381788
405	0.1516376387
406	0.1516356145
407	0.1516365629
408	0.1516344511
409	0.1516323996
410	0.1516249924
411	0.1516276065
412	0.1516265596
413	0.151623676
414	0.1516201159
415	0.1516197241
416	0.1516184518
417	0.1516181265
418	0.1516157178
419	0.1516151202
420	0.1516162124
421	0.1516143725
422	0.1516094889
423	0.151607306
424	0.1516074708
425	0.1516050788
426	0.1516026384
427	0.1516012085
428	0.1515979755
429	0.151596647
430	0.1515940689
431	0.1515916528
432	0.151590329
433	0.1515890521
434	0.1515882322
435	0.1515866996
436	0.151584123
437	0.1515819578
438	0.1515794948
439	0.1515782391
440	0.1515764236
441	0.1515746518
442	0.1515727198
443	0.1515710194
444	0.1515686651
445	0.1515691642
446	0.1515652732
447	0.151562792
448	0.1515616526
449	0.1515602244
450	0.1515588356
451	0.1515568795
452	0.1515566086
453	0.1515543724
454	0.1515529684
455	0.1515511257
456	0.1515514098
457	0.1515484535
458	0.1515465745
459	0.1515457651
460	0.1515443931
461	0.1515425094
462	0.1515402885
463	0.1515387726
464	0.1515374366
465	0.1515355499
466	0.1515346558
467	0.1515329946
468	0.1515317085
469	0.1515311502
470	0.1515302756
471	0.1515288171
472	0.1515281529
473	0.1515249152
474	0.1515254659
475	0.1515199967
476	0.1515207546
477	0.1515211661
478	0.1515164916
479	0.1515165277
480	0.1515150571
481	0.1515132914
482	0.1515122791
483	0.1515113532
484	0.1515095242
485	0.1515076951
486	0.151506332
487	0.1515047903
488	0.151502949
489	0.1515007658
490	0.1515002409
491	0.1514989533
492	0.1514999942
493	0.1514981227
494	0.1514961877
495	0.15149569
496	0.1514937868
497	0.1514910498
498	0.1514895037
499	0.1514882388
500	0.1514871056
501	0.1514851555
502	0.1514828179
503	0.1514802203
504	0.1514779901
505	0.1514778311
506	0.1514784104
507	0.1514758488
508	0.1514747355
509	0.1514724102
510	0.1514699002
511	0.1514675628
512	0.1514659379
513	0.1514643477
514	0.1514617939
515	0.1514603642
516	0.1514590358
517	0.1514566741
518	0.15145545
519	0.1514540007
520	0.1514528948
521	0.151450807
522	0.1514467887
523	0.1514456585
524	0.1514449823
525	0.1514426025
526	0.1514407507
527	0.1514389819
528	0.1514382708
529	0.1514358985
530	0.1514351436
531	0.1514320677
532	0.1514313157
533	0.1514292309
534	0.1514280901
535	0.1514269933
536	0.1514258085
537	0.1514253834
538	0.151423642
539	0.1514221063
540	0.1514191622
541	0.1514179232
542	0.1514156765
543	0.1514141833
544	0.15141192
545	0.151410401
546	0.1514085356
547	0.1514075128
548	0.1514063796
549	0.1514057728
550	0.151406266
551	0.151404092
552	0.1514041813
553	0.1514032237
554	0.1514015868
555	0.1513997969
556	0.1513970359
557	0.1513959497
558	0.1513941524
559	0.151392346
560	0.15137599
561	0.151373875
562	0.151372803
563	0.1513727445
564	0.1513715205
565	0.1513696323
566	0.1513712481
567	0.1513712254
568	0.1513700393
569	0.1513690423
570	0.1513675098
571	0.1513662434
572	0.1513647896
573	0.1513655414
574	0.151364204
575	0.1513623326
576	0.1513601161
577	0.1513593097
578	0.1513580449
579	0.1513569239
580	0.1513553595
581	0.1513532141
582	0.1513509492
583	0.1513491594
584	0.1513475027
585	0.151345365
586	0.1513443544
587	0.1513432439
588	0.1513421591
589	0.1513415524
590	0.1513398232
591	0.1513375098
592	0.151336767
593	0.1513350437
594	0.1513339831
595	0.151331567
596	0.1513278424
597	0.1513258227
598	0.1513246154
599	0.1513261373
600	0.1513248498
601	0.1513233429
602	0.1513219222
603	0.1513202837
604	0.1513183366
605	0.1513172836
606	0.1513162896
607	0.1513151564
608	0.1513095556
609	0.1513122304
610	0.1513106418
611	0.1513091349
612	0.1513077037
613	0.1513033435
614	0.1513017247
615	0.1512997549
616	0.1513023132
617	0.1513007291
618	0.1512990239
619	0.1512973007
620	0.1512961297
621	0.1512937984
622	0.1512923173
623	0.1512903263
624	0.1512884775
625	0.1512866862
626	0.1512851083
627	0.1512846196
628	0.1512835363
629	0.1512825878
630	0.1512812624
631	0.1512800339
632	0.1512785044
633	0.1512770248
634	0.1512751138
635	0.1512738838
636	0.1512718792
637	0.1512702559
638	0.1512686946
639	0.151267882
640	0.1512684857
641	0.1512662103
642	0.1512636339
643	0.1512625067
644	0.1512611739
645	0.1512618289
646	0.1512598666
647	0.1512581298
648	0.1512566759
649	0.1512558136
650	0.1512546471
651	0.1512527454
652	0.1512504367
