id,goals,own_goals,shots,threat,minutes,Understat_id,team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,creativity,xGChain,xGBuildup,positionOrder,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,team,opponent_team,fixture,round,in_FPL,element
414500,0,0,0,0.0,90,8704,228,GK,Marek Rodak,h,0,0,0,0,0,0,0.0,0.020527511835098267,0.020527511835098267,1,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,186.0
414501,0,0,1,2.0527511835098267,90,7077,228,DR,Denis Odoi,h,0,0,0,0,0,0,0.0,0.06595692038536072,0.04542940855026245,2,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,525.0
414502,0,0,0,0.0,90,5274,228,DC,Michael Hector,h,1,0,0,0,0,0,0.0,0,0,3,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,178.0
414503,0,0,0,0.0,90,7184,228,DC,Tim Ream,h,0,0,0,0,0,0,0.0,0.06595692038536072,0.06595692038536072,3,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,176.0
414504,0,0,0,0.0,90,6834,228,DL,Joe Bryan,h,0,0,0,0,0,0,0.0,0.10017141699790955,0.10017141699790955,4,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,182.0
414505,0,0,0,0.0,90,910,228,DMC,Harrison Reed,h,0,0,0,0,0,0,0.0,0.06595692038536072,0.06595692038536072,7,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,373.0
414506,0,0,0,0.0,90,6835,228,DMC,Tom Cairney,h,1,0,0,0,0,0,0.0,0.020527511835098267,0.020527511835098267,7,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,175.0
414507,0,0,1,4.542940855026245,64,6840,228,AMR,Neeskens Kebano,h,0,0,414511,0,0,0,0.0,0.06595692038536072,0.020527511835098267,11,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,180.0
414508,0,0,0,0.0,76,661,228,AMC,Josh Onomah,h,0,0,414513,0,0,0,0.0,0.04542940855026245,0.04542940855026245,12,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,188.0
414509,0,0,0,0.0,90,3683,228,AML,Ivan Ricardo Neves Abreu Cavaleiro,h,0,0,0,0,2,0,6.595692038536072,0.06595692038536072,0,13,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,187.0
414510,0,0,1,2.0672235637903214,64,4866,228,FW,Aboubakar Kamara,h,0,0,414512,0,0,0,0.0,0,0,15,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,190.0
414511,0,0,0,0.0,26,6434,228,Sub,Andre-Frank Zambo Anguissa,h,0,0,0,414507,1,0,3.4214500337839127,0.03421450033783913,0,17,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,191.0
414512,0,0,1,3.4214500337839127,26,773,228,Sub,Aleksandar Mitrovic,h,0,0,0,414510,0,0,0.0,0.03421450033783913,0,17,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,184.0
414513,0,0,1,0.5482853390276432,14,6827,228,Sub,Bobby Decordova-Reid,h,0,0,0,414508,0,0,0.0,0.005482853390276432,0,17,Fulham,Arsenal,Fulham,Arsenal,8,1,8,1,2,1,1,181.0
414514,0,0,0,0.0,90,181,83,GK,Bernd Leno,a,0,0,0,0,0,0,0.0,0.2652241289615631,0.2652241289615631,1,Fulham,Arsenal,Arsenal,Fulham,8,1,1,8,2,1,1,8.0
414515,0,0,0,0.0,90,1749,83,DC,Rob Holding,a,0,0,0,0,0,0,0.0,0.17604674398899078,0.17604674398899078,3,Fulham,Arsenal,Arsenal,Fulham,8,1,1,8,2,1,1,16.0
