name_un,name_fpl,id_fpl,web_name_fpl
Aaron Connolly,Aaron Connolly,78,Connolly
Aaron Cresswell,Aaron Cresswell,435,Cresswell
Aaron Ramsdale,Aaron Ramsdale,483,Ramsdale
Aaron Wan-Bissaka,Aaron Wan-Bissaka,313,Wan-Bissaka
Abdoulaye Doucoure,Abdoulaye Doucoure,512,Doucoure
Aboubakar Kamara,Aboubakar Kamara,190,Kamara
Adam Lallana,Adam Lallana,54,Lallana
Adam Webster,Adam Webster,66,Webster
Adama Traore,Adama Traore,465,Traore
Ademola Lookman,Ademola Lookman,557,Lookman
Adrian,Adrian San Miguel del Castillo,245,Adrian
Ahmed Elmohamady,Ahmed El Mohamady,29,El Mohamady
Ahmed Hegazy,Ahmed El-Sayed Hegazy,414,Hegazi
Ainsley Maitland-Niles,Ainsley Maitland-Niles,15,Maitland-Niles
Aleksandar Mitrovic,Aleksandar Mitrovic,184,Mitrovic
Alex Iwobi,Alex Iwobi,159,Iwobi
Alex McCarthy,Alex McCarthy,363,McCarthy
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,248,Chamberlain
Alex Telles,Alex Nicolao Telles,568,Telles
Alexandre Jankewitz,Alexandre Jankewitz,643,Jankewitz
Alexandre Lacazette,Alexandre Lacazette,6,Lacazette
Alexis Mac Allister,Alexis Mac Allister,80,Mac Allister
Alireza Jahanbakhsh,Alireza Jahanbakhsh,71,Jahanbakhsh
Alisson,Alisson Ramses Becker,252,Alisson
Allan,Allan Marques Loureiro,502,Allan
Allan Saint-Maximin,Allan Saint-Maximin,338,Saint-Maximin
Allan Tchaptchet,Allan Tchaptchet,635,Tchaptchet
Alphonse Areola,Alphonse Areola,516,Areola
Amad Diallo Traore,Amad Diallo,640,Diallo
Andi Zeqiri,Andi Zeqiri,574,Zeqiri
Andre Gomes,Andre Filipe Tavares Gomes,158,Andre Gomes
Andreas Christensen,Andreas Christensen,116,Christensen
Andrew Robertson,Andrew Robertson,255,Robertson
Andriy Yarmolenko,Andriy Yarmolenko,436,Yarmolenko
Andros Townsend,Andros Townsend,137,Townsend
Andy Carroll,Andy Carroll,320,Carroll
