Teams,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Liverpool,,219.12421873241647,,245.13927505347152,234.20590175200155,199.15676203431585,,170.0654611044414,189.2950136411183,269.03195804919585,222.09806970424515,185.54477068315248,199.1845881589639,298.6432264037206,206.80109339373757,243.26537416045917
Man City,232.46307752994423,180.4179414698306,,192.13210730075065,196.83953084740676,248.46283542683432,,185.9408721161545,285.4088757682857,200.81806423151582,,258.0737896565875,145.90052692232692,235.61795722797936,187.39510521857048,232.46307752994423
Leeds,,167.74978168938188,167.77321963990534,159.44322898619293,152.54685228235428,115.84043105038542,197.27167929399022,206.48086187818024,86.7484524383528,153.9581310998671,156.28439857011844,148.78582156737642,168.72316415666225,174.18860356821588,167.77321963990534,251.54725112273474
Aston Villa,,153.48762290974094,,235.59494693372375,174.40428684828186,194.4943021842996,,205.09729548464196,160.06553205944473,90.18969700191667,261.52593761308685,191.89006041697522,162.4840807757631,213.03079876356398,175.41628265135836,120.43573208905605
Chelsea,,162.2692616973584,,151.15734218619497,178.51343581533777,219.17166186972923,,243.2950074469299,198.1804567632804,143.90476304020638,147.54240961246887,190.79999669518125,83.90258803385186,138.54684776923895,142.78802592071594,154.21254420558594
Brighton,,179.58079792809693,,220.46125174405796,129.38706494176876,147.0399451628171,163.95489375923418,136.970903013464,161.75956887058817,101.5249672495072,180.9641292746426,198.6019336346873,147.01940365466047,133.69523957697587,76.02815107722184,125.54393041157037
Man Utd,,188.07190808826107,,116.45882517695593,87.21154406353526,153.36119729663687,,149.58008896900768,169.62386361698702,175.1184793325356,227.8153689242359,154.78000998228012,160.2943891159719,148.4193098942963,198.32478006984147,168.64528491558343
West Ham,,146.3814912809031,,75.26155580182181,196.59942138294227,135.58981922239897,124.27806530048927,145.5370003785461,128.0824493319338,162.30172917277883,100.50128642699761,151.123218213109,160.12853984397162,129.0841749640512,218.2383310021855,145.5573347657498
Leicester,,146.93118763722822,,132.00516852241367,137.11010248273655,190.27762077464376,,79.94101238104338,140.575992587983,231.807500320657,188.82309496105435,154.6074961737479,172.39298873159612,144.02024116725542,106.75004651414505,155.4828953796223
Arsenal,,69.72492808998614,,118.66004461526424,140.00581585613784,135.61291478137156,122.61104384887462,123.74537318040859,165.9610384017572,158.55906666160988,148.3486596420471,150.36197796987977,202.18359524315912,93.10789412227223,164.6923941259737,119.58807815006382
Spurs,,124.85513097077269,,142.5682705787389,167.70667464370743,117.24279730317045,,153.11397622218425,127.9142031462141,151.06380916042073,,168.99853826574383,185.47010733864514,137.2982834439582,130.49961332946353,120.83181862228743
Everton,65.75269634218819,116.69559466567219,,127.16701284294874,87.80353392951905,132.02967931710316,,155.30986230430227,112.77514088790191,127.8870419800291,108.57625520279105,120.85313253048956,115.62588811836487,156.5062318684873,127.1492475871968,65.75269634218819
Fulham,119.81536038425534,142.02754010079244,,140.94184898022775,105.89986132240251,59.66978825688357,155.87036064250518,109.67277738310034,115.38642675680136,98.53165753020266,,79.68066055443131,119.81536038425534,115.402548514661,107.49998078825023,128.67804432540507
Southampton,,75.59770398464359,147.88332955375367,120.44970154099359,134.74983590117446,97.09793371772075,,113.67584159213644,164.1602543783355,133.71977722219125,,96.34442935471293,100.4733935758087,128.739904371851,147.88332955375367,99.55239011165784
Wolves,,146.40992573155032,,120.86802670697216,103.01627022125363,99.47234847781792,,98.56052123405944,127.45723195878071,133.40728482488225,112.54325673622705,162.52467890823496,96.13051928974267,109.01203633333836,119.24962678497286,100.97534988995739
Burnley,103.02093597356907,131.36519821287916,,88.11208154180811,74.80726509747925,96.38690545123164,,87.61599323562297,97.69502325813521,81.61620094877156,87.60375326479253,79.66434694627088,103.02093597356907,118.33999022953,80.40135727243722,107.83023557891619
Sheffield Utd,,115.00106732519889,,89.75109586557365,97.80470970909366,86.06276554802065,,132.10154863222292,83.5064761214785,97.79104637264435,86.73585759669736,98.35848728992907,119.4494991904173,107.59557655260015,109.05581317886808,101.54460791291613
Newcastle,,87.09542525731744,,93.48494607735178,140.1842730898971,88.85580365030414,82.9165580200638,94.02740047907996,97.07322446485547,85.01253543382889,85.7990242317672,79.82937811686885,82.2731046957599,48.34387453039797,115.06931361871706,109.9371463596643
Crystal Palace,,81.08881830173566,,107.51378854405658,91.95474311641934,137.0941742009711,,100.59044089599799,63.13345967032036,91.4370198716601,80.45954869689386,47.278224656271505,112.5328268194122,86.8971444221156,78.06968947858347,83.90774596206076
West Brom,,81.12095923361721,,69.29069019822909,87.12143713882674,95.42464295703205,,53.94777093532911,78.13326608116206,68.75297703193274,74.25392599579544,78.12235084910907,66.7108336368084,71.6994741377852,71.04223084472504,105.53198797598775
