Teams,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Liverpool,,247.98469770769583,,250.78733199365,236.6017218504806,207.6671358666228,,191.8388027901481,248.6150805232209,275.1798716382109,273.63221948251714,214.15077308545617,214.84385743228904,319.5081145005761,280.7527696458074,249.8116838594893
Man City,237.5865695994481,183.79490142855644,,191.42280009390188,205.17131913685972,226.6808878749375,,191.59837184478283,263.64143565988286,238.190520133733,,239.3369492661078,153.1833128401571,262.1586773687326,178.19424521577454,237.5865695994481
Leeds,,177.33428787203775,183.46274340638243,212.3011812863391,170.6167254778109,136.5335541106386,202.04255082807515,214.15614339182574,104.7788265979007,135.7260021966279,182.87089425043413,158.82600506727235,213.06123502540567,239.74468692638004,183.46274340638243,272.839242077705
Aston Villa,,184.4285739530862,,253.77571607490938,191.51428407912582,252.34844404477178,,218.1982680263184,146.5789185696881,113.15714633273663,294.65600106003086,228.6958485071543,197.49360832324285,230.38072725998654,230.09802774491524,147.45104391287094
Chelsea,,179.19617112482115,,178.61808589258155,206.83816078274668,229.52101101484016,,266.4941481040888,208.362006644631,155.1323797664116,166.64889757892286,197.34389032047798,102.3421114972937,160.00820011341727,166.8017468670743,207.3639481533285
Brighton,,186.31332881560243,,238.2939799952745,149.15093788699068,160.23379545493572,204.07904424384168,159.71688267562374,184.9507349353574,119.24649754985828,187.0409819374254,205.2333066086802,154.88128806127003,149.01426297134176,91.51236244138781,143.07627806526503
West Ham,,184.92412221982806,,90.94161372682332,203.9532976262026,158.72075272061636,142.18393303545855,153.91531697591333,148.22070612590366,202.80623422053665,118.50277524418084,208.083726640568,183.79722527386525,137.8512593773574,236.807776610919,159.23444159338214
Man Utd,,223.15140656443305,,130.39076968793714,100.0647198858396,162.94050427091153,,151.6802604464552,203.47539186677062,228.95832794034345,224.41354139661283,129.61955036154728,202.74953372379153,163.0899522447696,192.95244955565204,169.35583665360332
Arsenal,,86.91223157280392,,141.65343902292597,198.86408757427708,176.7306239148766,141.5236344631685,112.58238058566462,177.63883154215316,167.59081519893158,175.65365678934913,193.82042687224367,226.3154509317716,113.25223098613633,176.94775598753552,131.74343500871646
Leicester,,177.30807787710452,,136.81619519371466,132.6470889363318,178.85729095008836,,87.50837952820969,142.49437268723696,227.86779277029288,178.1614751733931,153.2230117531582,195.14987900003737,152.728715698852,114.02905013720105,177.94285374947916
Fulham,178.6813632273223,159.61025929432935,,158.98932102589495,101.15639019493742,78.09150565084767,175.13456646951855,158.22775876014583,132.16698442894892,122.0932525284991,,101.75825745098457,178.6813632273223,136.73451334228415,136.2934090351749,174.149583855349
Wolves,,172.24736409688958,,171.27861953439628,155.61927563932477,99.48876411937206,,125.06407675141348,148.09957823918,156.97898479141324,175.7356897017919,199.99438986092414,116.42133930437564,156.17640401517195,155.22469089844327,134.04652732659721
Spurs,,128.18598637645653,,180.1224884964138,160.2716233539482,123.07797565925193,,175.55415880017088,137.39266120240475,159.09948427754767,,160.8975696982839,176.54708563028584,133.2329555943797,159.5039188324801,128.3035577318827
Southampton,,95.10176822725323,163.67818559577225,147.50237775267397,149.1693968267165,110.62946409589831,,166.99296959128534,190.04481742522464,148.58907706921158,,118.95123309492025,94.53927195695556,140.73173415909378,163.67818559577225,118.84223177062488
Burnley,129.34917975477705,174.67376066587556,,136.40342529394778,104.8774776107729,135.57220543178244,,117.45424554340539,149.59359918314485,117.07533920636546,113.53076163725704,109.2301270328951,129.34917975477705,150.43969419597494,86.8928202676867,137.10439396872755
Everton,77.12660542991395,99.90649979476568,,135.04501893397904,100.50093036684198,176.47357269469208,,157.02484576439994,116.91017185984079,156.83216103647283,120.58466583449948,156.2726933773867,125.58919862855878,157.6381117070493,130.5339265001414,77.12660542991395
Sheffield Utd,,130.5556300172144,,87.7032766309556,118.54975079228959,110.35004486248877,,151.84285739258598,105.8556783278332,114.58967223438377,102.63001070660447,137.67567107513653,137.84482004973444,136.83669835808058,150.98887078313186,154.91795424612127
Newcastle,,109.83186942432587,,106.5065954308977,163.86666742424703,127.50763710784433,95.39056021592438,127.96412376400028,143.9901481184535,102.47204177075048,81.51674771345093,98.38869145785726,102.56602846293767,62.9299399912974,128.62172339583435,121.34632551376717
Crystal Palace,,101.26171516044938,,128.81502134097923,135.84013577460382,173.95243054916148,,135.0123485053929,87.04885487952245,116.96920826978503,108.87882339555345,66.80318937260137,136.53820973975996,135.35555300618756,104.44437716753936,86.53398899305009
West Brom,,117.5512590885986,,77.87533109087495,114.56988284730886,104.59621826624583,,66.94492962204978,89.95518006991847,83.73326885959492,104.09520013208665,86.95028484756082,80.32295759176682,66.54897196606005,83.65653962395939,115.21788521523743
