,Teams,xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,222.3492627689374,38,130.6776937618359,216.59049787823773,125.883668842539,,85.6646102992917,232.05250878071809,306.79300478198957,181.6469590495393,253.28195762683765,,155.63787065582605,272.1568673853606,,309.3686457800184,,,241.69743137764866,182.31394620089173,,256.0454851821984,279.3905835613061,256.66437791201884,378.8170021141688,,85.08513083077382,301.5806418675902,263.04466909356967,83.14823934310974,,178.9335956755002,195.24197802900372,345.8801549278077,175.25385511022046,184.79436427622252,66.95107253502313,209.03168992609787,,91.52543271450644,241.81463792451567,343.7038491309582,130.21885964646847,199.82376272823467,315.75177490334767,267.1946225673135,500.4957515874129,140.43509887144288,264.67969234007336
2,Liverpool,215.76432512663317,38,353.2048024507482,,95.52232224993185,,168.45125190945186,216.62007366904163,129.23241294768536,267.116727350375,178.04232903694896,273.2050383044313,217.32056544703948,595.6409835758335,20.922240891727352,52.7685267448235,,,176.74995096609013,388.93592210724205,244.87589133824076,148.75023166650735,294.3094077487535,,184.74868055567558,,119.55825694620968,134.63260741688595,,144.62367310660008,,229.02729602083238,192.71234516308374,364.71184282992215,242.04826871727948,161.15179116095422,156.58389837796693,180.7340910891378,230.068778517416,331.727006651228,96.4502372457248,250.75598990001168,,116.89482051394879,239.63629713559257,402.43838471815434,172.38927264014887,245.71869221791636,180.76344548250026
3,Brighton,207.6014265285943,38,128.0380408490198,351.266189508197,212.9416102405736,80.66086439005781,279.6124152635293,294.3825893403647,236.88427312807548,334.53866413937556,192.5994861041216,,263.07552873949265,162.25181416337992,218.08951802269138,416.3913288224,,64.6568371333918,124.7946808409112,358.0276444200047,,,212.04732446547138,,291.0140059792598,,260.2888920228382,185.1045926027694,,247.19445224399254,,205.93016715660545,145.6263073356322,88.83453749504937,86.2249322432222,175.1362867579615,304.0167395003311,87.67299259346281,178.31984316788626,235.55684129731046,98.93935564819199,237.54264424945342,,259.84740448373105,135.39907027299913,131.78471123443427,186.83805298880435,218.5891012884096,198.73446795317832
4,Newcastle,206.40253708321663,38,157.16036118361095,,200.47963256358955,487.8205438905709,192.46937372096895,172.7720992728378,,406.22518164925197,236.15037950412224,449.93715901273805,44.207765768494994,111.28624801919881,290.6127681687611,376.8346835062615,205.28795606041712,,222.62121695720361,60.28306162372468,,,175.935482221726,,167.17465196668473,,125.7042282681296,159.49977324447624,,151.68953376690587,,127.30507663586249,228.26542301986387,167.78240214975494,140.7217859120322,125.33973129861326,444.938373819829,124.3304432856113,93.09974515045738,90.34031516292333,266.1589730758071,405.19276474362,128.21536472058898,324.1266449878615,64.62007230988162,178.44094541458767,366.97542259597725,20.64654776087064,152.64427674841454
5,Arsenal,202.6825039031025,38,274.76048730660585,,40.24861526063168,,107.59779869210719,177.69401873774433,,294.83005085372105,66.06977429224905,214.48215055958423,278.02089008694264,154.26472533448293,,269.7703534792811,168.65596474191295,,204.2270392303355,206.46620306502209,255.7667703913094,68.6853805929941,298.8002816980151,282.42500119084787,148.81442861938984,,56.800607920254244,334.3792171645491,,226.92462674244857,,131.9178246500063,371.66553519354557,193.81173530102757,207.56607238251928,246.0852196879822,258.5200686031131,139.27217482636487,,67.26969209920338,285.49714708761377,273.15728757980213,143.56610133146197,160.48304691638998,292.559737819907,191.12862861508694,152.93333083259336,292.30892196365727,164.50823746719053
6,Man Utd,191.91765502505365,38,214.1399964286801,563.0047671982319,142.23648860802822,,281.0621828405591,122.16172219391872,148.2731975056549,137.4783407509275,218.7988966164849,,293.0546325560146,360.5882840640043,124.45832815291584,45.410747637695785,,,80.3464343903758,84.09977738161038,,,404.4981353160155,,106.72599086038818,164.99016487211668,230.45760552978754,34.27726466690015,153.13593528654053,328.76053333898756,,246.23371993318156,223.25075322600924,175.77911402117772,268.2825696026713,53.78633446601762,179.16051724289065,75.62555974269118,188.01056913014324,192.45424599819475,149.93035043633205,294.18220581278763,,255.46728884796696,104.60694279011837,187.43104474601452,203.07973110503107,97.43997501325799,160.1905426417138
7,Brentford,166.41252743890394,38,239.6404325639301,,126.83849764011788,,480.2515337307142,18.465093635514933,,112.86009226957499,72.48257266328801,211.7444081205835,142.9985646124306,280.680154645894,72.77265000845412,143.5313657564141,45.32353879911709,153.17828670469774,160.17384718421403,188.91756493703437,,,67.00464782738919,,273.8916619512662,,210.74734834577944,14.009682174957446,,107.48737486168505,,253.59216349746595,165.12758739920594,260.0288054315269,545.6650037797192,100.20301015787396,118.9863493387294,105.04142244003559,150.25911046479555,213.96780688995435,154.21049757052123,86.66431836168678,68.00276112442278,228.17451611220616,177.70528850906123,204.80465591131772,123.04014044301364,156.58798047681898,88.61530633693755
8,Spurs,153.60822770167684,38,166.4350189810629,,176.28180690032468,,123.24169232982901,127.0287166070239,,145.52481009785328,268.26275581235336,121.68102556633642,191.2369129619588,66.68552684348813,,114.26899703421358,166.2410410591514,,142.44021519300532,114.58721744244691,,102.41791648361642,146.47752190930197,,110.92756497515163,,242.08728359615762,76.73437222815284,196.6240612731985,215.53950172113113,,183.4957558998447,59.21430479252681,96.10765431810746,211.66348691232395,182.48538012203878,181.78317273486135,212.71426224105988,74.29987385714483,205.20341493962812,86.60804737060447,189.1974096883933,188.9347642832828,234.4236272264523,73.98884435414594,200.92030680626098,134.49843953635437,164.20547365381083,142.64447491112068
9,Chelsea,136.4405672614678,38,274.5157044549376,190.16002041152646,191.80154575541192,,82.03929931691442,146.43411824026927,,98.8611562636605,131.71689245368628,,52.00139394744174,73.89203082036225,219.806228708206,248.63051589784382,156.0185692844169,,142.19030086517313,153.06809532277268,,28.84170407787216,149.9402927033878,,92.11371472769032,,109.23382016166637,185.22814956269727,,233.91201343014782,187.60048383292352,83.38583890448767,112.73609349112269,158.46120728172644,48.80555746831219,35.104236177666266,120.7167278963421,135.66102109008295,60.615102978039026,128.5849758096597,220.31626953456063,144.02233471673478,,72.35718737801234,132.72075614103935,166.388281578856,56.688000378255424,202.2754544051887,157.89646046668128
10,Aston Villa,133.0795703148586,38,287.1569695308498,,147.5543870236385,,197.92239878393605,136.08896685384443,,49.05041715150979,64.79377092706653,181.1721019925783,269.71143664626675,117.18100019098384,95.2756616235608,79.23217799138575,290.9638618284228,,209.34825148095692,97.81036366163133,,169.1629204180615,42.27306608300657,,45.66621818811065,,144.15764152311624,103.37028354909228,,134.74178845163576,,93.55399371023573,133.8631673212675,169.85287845648898,129.56472066540545,65.27792033391246,36.80598666385835,457.16112089316226,54.93588450906539,253.39356039052035,53.95928538088286,159.93319683768473,123.45475078615156,46.33697217143141,37.415080862749214,31.154712932186357,88.28007332972795,218.96600065769945,40.48068216254231
