,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Bruno Borges Fernandes,Man Utd,Midfielder,44.249635059521786,45.44557114221156,38,37,19.92335551349019,55.97885024416935,19.913701329906125,,108.17443173146783,55.351507739887026,69.27721596400266,34.07228730080866,87.74497560347751,,87.16267107916524,70.78291877487291,12.478408674061953,9.919896120365088,,,52.983153328590284,28.55441488397869,,,199.06859404027074,,11.436778731524722,9.391649446364621,26.257984913260607,2.539034215203955,99.73520692036051,75.0922593021899,,69.67197347937476,47.2631947515017,68.77138230668146,76.48303609864764,0.0,4.537295791560735,42.92247430061343,69.41001068830424,18.261377320202342,7.674246514717414,0.0,,45.9230029007957,15.37665843778862,0.0,40.810471047148006,1.1363444120781272,37.40536835499515
2,Kevin De Bruyne,Man City,Midfielder,43.03054621662422,51.098773632241254,38,32,0.0,5.058835991863519,0.0,,0.0,59.761007315673375,0.0,0.0,84.69518376501146,,33.78949426625672,106.30219093751656,,95.82118323661292,,,0.0,35.7874863003137,,0.0,69.71921947983668,81.77696485976834,11.212573484266743,,18.731655028172902,66.59227884055579,0.0,67.02091843198221,,59.576876213786335,60.114838152960985,51.24489038773267,9.43349822410621,56.63064935625588,19.330404985352537,53.37122468014868,,39.81226875899173,38.802793851682566,70.30273404241262,69.86178162675954,81.53388287190914,8.405987047819835,10.231795556421755,170.47167909719525,50.350773731206594,49.41568570914627
3,Kieran Trippier,Newcastle,Defender,35.327580942007685,35.327580942007685,38,38,0.0,,39.28154253150002,59.42581245823548,22.770750889697734,64.75348842287464,,92.91055071336812,3.041809216161308,34.298365615860114,10.323292391220177,29.605787093041187,12.32499736101925,81.17592254332365,8.77111474962109,,10.594187075980653,16.54521178794098,,,64.47530020992765,,7.018624960723713,,23.480753633728785,107.149361500933,,35.60208081640624,,40.27525946914359,91.34688514872957,29.049639750017953,12.550396411056473,33.11449251711224,129.91759416787414,3.768005092247669,28.98925642873463,27.77825380991069,68.22383177800056,43.615831371918084,11.339582818105265,72.67934545766512,0.0,9.694043105933142,0.0,6.9779074469552,9.57879705132397
4,Trent Alexander-Arnold,Liverpool,Defender,34.124625675816915,35.0469128562444,38,37,113.27675273283539,,9.271459879795435,,2.6736828454638055,47.62121490260919,24.073306236147445,42.42345217933927,5.03433510143689,103.6281780357024,95.86969127604956,70.37434305563387,0.0,0.0,,,28.60402352456545,60.895733295104385,46.21940183556012,7.857374507919328,90.66253546907284,,4.790411618023917,,31.774133414363945,0.0,,115.6856315840859,,40.8857140230746,5.980105580771599,41.63667175898908,63.46465866883342,3.288854797847449,10.166626572394605,60.85975885809183,40.89895285887941,0.0,2.7064883753340454,0.0,,3.9193208594866227,1.1556741037351175,11.23260441116717,6.125012387264615,102.3764904479417,1.3031804835226182
5,Pascal Groß,Brighton,Midfielder,30.430933183635865,31.253390837247647,38,37,39.82240803203215,57.999110233724764,12.339415211078595,0.0,45.010033245838116,52.544907082631326,0.0,0.0,11.135754411588263,,13.239984188465241,9.15063676917864,72.86607813370932,45.28728616117122,,19.16473791542238,0.0,113.27307615417811,,,39.222426998449514,,42.167300884502126,,3.1321613127611543,58.352977027269496,,15.175749601527603,,20.845106852187346,49.661510281446546,0.0,0.0,0.0,23.66647096601437,64.16743540738099,15.383320338759203,80.9676880342711,16.479242044909416,0.0,,81.98081514325793,0.0,64.91393430183466,41.95413328281049,43.81996382115323,2.651797140609911
6,Gabriel Martinelli Silva,Arsenal,Midfielder,24.87567819307091,26.257660314908183,38,36,0.0,,0.0,,0.0,64.67736331316567,,0.0,0.0,68.64894694547252,68.44422146291437,54.99996602479906,,62.73921664786457,0.0,,10.225741368269215,14.360551609991447,11.66834760497034,0.0,3.632064212384047,11.093644113331184,0.0,,6.566895457294529,23.280948383331275,,123.15528938134706,,45.94000576186312,0.0,3.041640327583857,0.0,30.851013857216156,1.9876025766549381,0.0,,1.5978828766072957,103.32952938641075,45.00712737886164,17.0148249365778,9.99038249582157,56.59959696061074,45.047665045134366,0.0,54.34300822738581,7.032294980831223
7,Solly March,Brighton,Midfielder,24.47106126325043,28.178797818288377,38,33,0.0,0.0,0.0,0.0,0.0,13.34800555379043,11.331346534674944,0.0,39.61063158022558,,5.777774143195245,116.53869034113009,58.979477695995726,68.23634150149412,,1.4964712312696329,3.094299154006534,9.034706858171933,,,96.72820982634714,,122.29419238347306,,24.40331628130074,0.0,,87.1259589601687,,30.51867307528766,9.542486140785009,56.23198519772105,0.0,12.399731848757737,0.0,4.561154765673071,7.9464449982204215,11.293737859221968,3.214419484232179,74.83837353191457,,2.7885602481551244,0.0,2.668524657027335,0.0,55.89681415127648,0.0
8,Martin Ødegaard,Arsenal,Midfielder,24.370361745465267,25.029020171018384,38,37,30.06938275303432,,1.8984239714150546,,16.023200926791738,59.11360200058624,,12.561307266103189,9.609672231332109,5.020743616557085,0.0,0.0,,26.39889586451673,6.9227990067701475,,17.8333538535567,7.779095781542868,9.541216412118919,14.8473862594231,87.36709127632271,1.9917508469936578,8.380213534989178,,7.693179759615612,7.553758868861569,,12.954754688176157,,32.75359609619194,111.18901335932337,89.7732897988992,0.0,15.83900166287172,59.67085638270357,74.5882913918664,,36.43691846421781,45.93763648402169,35.93292748045896,0.0,41.9669957946159,19.93732233226395,11.744437632563082,0.0,6.743630528975526,0.0
9,Mohamed Salah,Liverpool,Midfielder,24.175781892949555,24.175781892949555,38,38,30.407568989732216,,59.13676497576057,,52.25196114410776,30.638568474986716,12.820936161657464,0.0,7.210340622963637,10.164561559726128,0.0,44.38330209698501,0.0,13.131617344762788,,,0.0,61.181527565167364,9.736367192725542,51.05958565428213,77.9194638951707,,7.628868143322681,,0.0,9.191198220018544,,7.265743496018551,,88.53440494531549,26.50782242408368,41.95032710540944,0.0,0.0,25.099927247323333,5.077879911516136,4.855445658332785,0.0,4.717122608526522,34.21700382094435,,18.778815783114975,57.29069304153634,10.523005860524684,26.14327077001834,49.614074490527265,41.241542727521896
10,Bryan Mbeumo,Brentford,Forward,22.19632551121019,22.19632551121019,38,38,104.54070750614176,,54.578581914263346,,25.448100788770613,0.0,,5.940398415357544,0.0,80.58857152834295,27.688591929516825,8.142468548867317,0.0,104.63853284096399,0.0,9.774459677125403,47.42578243826368,11.301236610044802,,,10.716814542498206,,69.66033025020145,,15.677362508675364,0.0,,0.0,,7.959180076823069,0.0,16.612739271172703,96.2008982598228,7.910621416013558,20.550877343593864,3.238798288542043,6.556010112540006,7.2594357069125195,0.0,0.0,0.0,33.32162312910288,14.882562920517152,3.1052017280485837,32.07732076265512,0.0,17.663160911209523
