,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Erling Haaland,Man City,Forward,86.21420930874974,93.60399867807115,38,35,0.0,121.80099487304688,13.480524718761446,,70.96246480941771,137.31948137283322,87.62832283973694,98.63874316215515,114.92518186569214,,121.90799713134766,113.45599889755249,,0.0,,,154.03300523757937,18.26770007610321,,94.91760134696959,106.79600238800049,78.61459851264955,53.821402788162224,,0.0,187.91799545288086,109.58700180053712,10.669399797916412,,57.935500144958496,83.87730121612549,157.75899887084958,4.682449996471405,97.95929789543152,0.0,114.1350030899048,,55.27999997138977,72.86930084228516,102.15200185775757,15.01230001449585,85.87219715118408,181.30300045013428,162.06099987030032,151.74299478530884,22.118200361728668,216.63599014282227
2,Mohamed Salah,Liverpool,Midfielder,61.42122029866043,61.42122029866043,38,38,141.81276559829712,,8.930378407239914,,82.63933658599855,102.4654984474182,117.73064136505128,91.62949323654176,10.033101588487623,63.68210315704346,52.616101503372185,265.60299396514887,0.0,17.50539988279343,,,82.93089866638185,62.248802185058594,71.25970125198364,26.538899540901184,16.775000095367428,,95.98429799079895,,17.18609929084778,5.63758984208107,,3.496240079402924,,5.717010051012039,74.64100122451781,110.53899526596071,90.94899892807008,99.92709755897522,76.82600021362305,30.75180053710937,53.67580056190491,72.56360054016112,3.674729913473129,67.8263008594513,,21.19819968938827,6.999289989471436,174.13500547409058,15.045499801635742,53.65399718284607,39.17770087718964
3,Harry Kane,Spurs,Forward,60.69589506246542,60.69589506246542,38,38,87.18252778053284,,14.458134770393373,,105.28756380081177,33.93673300743103,,29.491722583770752,19.939137995243076,51.28812789916992,59.01190042495728,23.72480034828186,,119.55100297927856,78.3814013004303,,94.74909901618958,28.576600551605225,,62.1845006942749,35.77769994735718,,5.287560075521468,,112.79699802398682,77.64599919319153,18.66450011730194,50.62900185585022,,70.45350074768065,11.999499797821045,39.00690078735352,66.91640019416809,16.238099336624146,60.488498210906975,72.05060124397278,49.373000860214226,139.5900011062622,62.247002124786384,92.99269914627077,63.62289786338806,87.86020278930664,28.656598925590515,148.6930012702942,90.42059779167177,82.96489715576172,14.304600656032562
4,Ivan Toney,Brentford,Forward,57.08209887931221,65.73090173981406,38,33,0.0,,0.0,,0.0,5.850410833954811,,4.761312529444695,3.6546330899000172,53.07904481887818,60.72630286216736,182.46200084686282,10.033900290727617,43.94949972629547,12.808600068092346,91.45339727401732,52.536898851394646,85.46199798583984,,,8.940809965133669,,132.57100582122806,,26.967298984527588,6.330200284719468,,77.16140151023866,,0.0,87.37030029296875,129.93099689483645,280.73298931121826,0.0,64.89830017089844,0.7406789809465408,87.55009770393372,135.06200313568115,80.58390021324158,82.59580135345459,14.013899862766266,125.12400150299072,34.726199507713325,49.99290108680725,72.6485013961792,1.5745699405670166,62.825900316238396
5,Callum Wilson,Newcastle,Forward,49.62307376492964,60.82828396991376,38,31,0.0,,92.86757707595824,141.17385149002075,176.95858478546143,0.0,,234.1235637664795,73.76178503036498,53.836852312088006,0.0,13.110700249671936,101.92099809646606,51.90839767456055,0.0,,0.0,9.9760502576828,,,37.682700157165534,,0.0,,60.399699211120605,33.67840051651001,,64.53099846839905,,16.920199990272526,0.0,0.0,0.0,6.101850047707558,204.40499782562256,69.86029744148253,16.122500598430637,17.02390015125275,70.88050246238707,171.61099910736084,0.0,0.0,0.0,0.0,94.88599896430969,0.0,71.9353973865509
6,Marcus Rashford,Man Utd,Midfielder,49.37305399461796,53.6050300512995,38,35,83.97656083106996,162.97770738601685,0.0,,0.0,19.986082613468174,30.837857723236084,40.048715472221375,79.91933226585387,,0.0,155.8320045471191,55.41099905967712,0.0,,,21.972699463367466,58.1462025642395,,,108.10400247573851,,31.103101372718807,14.1417995095253,91.86300039291382,9.484890103340149,42.131701111793525,145.79800367355347,,70.58529853820802,79.97419834136963,27.24350094795227,52.07419991493225,0.0,73.57439994812013,42.34560132026672,70.79619765281676,63.39259743690491,6.728559732437134,0.0,,82.88840055465698,14.793099462985992,6.696350127458572,84.37929749488829,9.087789803743364,39.881899952888496
7,Ollie Watkins,Aston Villa,Forward,46.01656806312109,47.260259091854095,38,37,71.2113618850708,,76.11688375473021,,54.07993197441101,44.7827935218811,,0.0,31.39228820800781,39.17208909988403,117.14099645614624,73.71330261230469,44.69889998435974,61.70669794082642,54.99029755592346,,112.0479941368103,36.50979995727539,,156.46200180053708,10.471200197935103,,9.589160233736036,,83.43459963798524,58.3266019821167,,0.0,,0.0,31.995201110839844,68.66239905357361,0.0,0.0,0.0,224.46000576019287,23.55320006608963,57.42999911308289,20.46799957752228,67.3554003238678,8.092480152845383,14.404599368572235,0.0,9.531500190496443,36.19149923324585,50.6384015083313,0.0
8,Aleksandar Mitrovic,Fulham,Forward,42.57636010695837,67.41257016935076,38,24,127.91787385940552,,156.98641538619998,,38.060882687568665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,17.425799369812008,6.457369774580003,,0.0,0.0,,94.95490193367004,,1.0288399644196031,11.530499905347824,,92.34200119972229,0.0,47.59880006313324,78.99399995803833,83.18819999694823,0.0,0.0,58.38069915771485,47.91550040245056,203.15799713134768,99.140602350235,0.0,0.0,13.961100578308105,19.211100041866306,44.01719868183136,38.352099061012275,155.7410001754761,90.3743028640747,91.1644995212555
9,Gabriel Fernando de Jesus,Arsenal,Forward,42.55561681562349,62.19667073052664,38,26,39.06822502613068,,23.173397779464718,,8.147013187408447,13.305892050266266,,91.82888865470886,0.0,87.28352189064026,91.14649891853331,90.62399864196777,,184.4660043716431,7.818060368299483,,37.81639933586121,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,61.194097995758064,49.396100640296936,82.99480080604553,81.8210005760193,,37.68979907035828,22.366699576377872,147.08600044250488,83.34990143775941,4.910039901733398,128.75100374221802,26.34910047054291,12.769599258899687,185.5739951133728,18.183399736881253
10,Darwin Nunez Ribeiro,Liverpool,Forward,37.828435337072925,49.5682945796128,38,29,0.0,,0.0,,0.0,52.5540828704834,8.591039478778839,0.0,0.0,51.788318157196045,35.67880094051361,33.247798681259155,2.8679700568318367,0.0,,,2.0825600251555443,130.1609992980957,40.36360085010529,0.0,44.41530108451843,,33.386299014091485,,43.61650049686432,10.386999696493149,,0.0,,87.2285008430481,78.81799936294557,144.03400421142578,113.59100341796876,33.201101422309875,41.74759984016419,0.0,66.71220064163208,37.39289939403535,54.076498746871955,3.932660073041916,,38.01450133323669,0.0,0.0,0.0,82.32129812240599,167.2700047492981
