,Teams,xA av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Liverpool,168.9820552073223,38,334.93930678814644,,88.8110863044858,,161.151584982872,180.01967333257198,87.07786928862333,133.9286350645125,147.30738010257483,313.68230376392603,265.4758743941784,306.857480853796,9.45455003529787,31.817159801721573,,,115.01922868192196,308.33589136600494,248.43509811908007,106.67658057063818,206.4485676586628,,147.5457896478474,,97.47303081676363,97.84689880907536,,128.85356759652495,,186.45077291876075,170.06706167012453,235.0257284939289,269.67938281595707,95.09641285985708,183.1870600581169,210.4561012238264,92.92164035141468,187.12387010455132,68.14261116087437,175.55307280272245,,106.97409082204103,147.8552713058889,280.52608110010624,133.70353914797306,193.9484795555472,167.44936350733042
2,Man City,165.23208857121827,38,90.78069366514683,192.97296926379204,98.7373135983944,,88.99340722709894,151.65471248328686,280.4136920720339,90.7303236424923,193.72960180044174,,71.72622960060835,182.7041756361723,,245.92090100049973,,,104.14208211004734,119.45850066840649,,136.56958416104317,139.0390787273645,163.0701869726181,224.4246982038021,,46.90751936286688,256.6403992474079,150.43230056762695,66.97643212974072,,154.4475108385086,237.80035451054573,348.7782496958971,126.4302397146821,156.50009904056787,62.041280046105385,100.65996944904327,,80.72393015027046,245.3357432037592,240.62185809016228,127.89178946986794,162.2378695756197,284.4687193632126,234.63200088590384,286.1279644072056,164.38892744481566,169.70805767923594
3,Brighton,149.49001194909215,38,121.6616541147232,180.65176084637642,182.3033532127738,57.30578228831291,121.32116258144379,247.12832160294056,94.26289163529873,279.47956770658493,131.78820088505745,,95.39137054234743,147.54891013726592,256.81393034756184,251.4992132782936,,54.511249624192715,116.25900268554686,236.98585778474808,,,265.6452417373657,,245.73211781680584,,150.65189190208912,191.83811992406845,,181.10552225261927,,128.6399284377694,60.58986857533455,100.71434155106544,45.95472067594528,104.50084051117301,215.09630531072617,50.64731072634458,147.8841595351696,213.56533989310265,89.97351918369532,191.9616997241974,,157.93734192848206,50.41555147618055,159.6888393163681,101.47658102214336,141.57193191349506,110.1170513778925
4,Arsenal,146.7890658121752,38,238.58963586390018,,36.07194013893604,,87.46015261858702,125.69244652986526,,132.20143243670464,17.31630126014352,178.0428127385676,170.86437717080116,105.26129603385925,,233.25746655464172,134.97125077992678,,255.509752035141,168.0640310049057,276.6869992017746,63.26051093637943,238.70071955025196,84.32044917717576,109.8081398755312,,57.95405004173517,191.68639071285725,,175.88794454932213,,86.73481103032827,136.10451221466064,178.5704204812646,156.55704885721207,156.26681819558144,266.68934375047684,149.84264858067036,,71.43771946430206,154.86688055098057,149.49477780610323,123.76835867762567,90.34408172592521,183.60336758196354,216.61647036671638,113.58572021126747,169.00020018219948,92.89322197437286
5,Man Utd,146.56088161037155,38,199.6131680905819,294.91793662309647,93.30445770174265,,270.68156842142344,108.05256813764572,123.00615422427654,92.8078692406416,175.47739520668983,,237.6566119492054,331.37124702334404,93.99479776620865,33.41267928481102,,,88.39555196464062,83.75420048832893,,,384.0294310823083,,130.37496004253626,104.81100613251328,65.16078989952803,8.848899975419044,126.6626911237836,198.22798911482096,,272.66875114291906,134.37382020056248,189.78850319981578,250.70341425016522,13.993969932198524,159.63194835931063,69.06222933903337,153.21212336421013,131.83913240209222,178.3565916121006,30.199529509991407,,202.90402304381132,105.96281047910452,110.17220020294191,189.2941828817129,50.599289778620005,81.98900800198317
6,Newcastle,146.54509643043735,38,123.70732389390469,,105.59949520975351,291.49412736296654,63.368985056877136,137.2237028554082,,274.0725874900818,136.2001858651638,303.28443460166454,37.84469962120056,99.51314255595207,259.6710467711091,262.8424786031246,160.88562915101647,,181.74677044153214,25.559580326080322,,,162.00006287544966,,41.31664000451565,,116.99634976685049,123.73439017683268,,178.51496376097202,,99.7983779758215,260.584169998765,80.2302310243249,129.4434230774641,110.1277407258749,229.61719445884228,90.91811943799257,91.2601925432682,46.26611918210983,142.8334355354309,409.5822907984257,55.010380409657955,183.6912903934717,54.48710098862649,86.73456981778145,214.70097191631794,18.39519999921322,179.45625968277454
7,Spurs,115.32611782221417,38,195.87683118879795,,134.2976711690426,,38.68171889334918,115.66498652100563,,137.6583367586136,210.01836471259597,86.24067939817905,195.41398994624615,50.23639015853405,,49.11862704902887,183.37332159280777,,86.50034125894308,87.66448982059956,,92.04875212162733,100.74490774422884,,25.076830945909023,,118.56127828359604,83.78194030374289,72.46241122484206,147.0114715397358,,131.79713785648346,51.01461857557297,69.2936796694994,165.81970155239105,131.15933947265148,177.87719704210758,151.4564884826541,65.85259027779102,158.62280130386353,71.94032808765769,71.87360934913158,146.81609719991684,166.4760172367096,46.91565902903676,138.11599910259247,127.91673019528389,151.281170360744,147.72997181862593
8,Brentford,107.0638330261174,38,127.905935049057,,100.02684593200684,,359.00853127241135,12.538818828761578,,41.187420301139355,70.05580253899097,144.8562242090702,75.94804270192981,53.3128997310996,61.90376952290535,121.20488062500955,39.94866032153367,167.40378979593515,179.97395284473896,135.76659001410007,,,44.630260579288006,,217.53770876675844,,222.86100536584854,12.927539646625519,,24.355030246078968,,64.88024890422821,86.42482906579971,156.98086768388748,243.21684055030346,44.654978439211845,89.06992841511965,70.22758834064007,84.56592997536065,102.13174894452095,27.937689423561096,80.24001158773899,42.15321987867355,86.2953919917345,159.47936568409204,180.90298119932413,146.93005979061127,99.30394887924194,89.67631794512272
9,Chelsea,105.05247779043489,38,162.98607140779495,164.96557937934995,100.08101854473352,,81.90671112388372,114.97141197323799,,76.96545720100403,114.8560362868011,,28.26456017792225,76.30939092487097,196.08974512666464,191.98044016957283,83.63977186381817,,149.47837814688683,166.95598848164082,,20.87875297293067,135.02913983538747,,65.33927991986275,,93.95473077893257,178.6252187564969,,147.69640117883682,154.3013410642743,43.9167108386755,67.16987006366253,171.4296903461218,35.910480096936226,18.85335948318243,88.10615930706263,32.843659445643425,50.906530022621155,67.19370856881142,219.58897411823273,69.73138134926558,,62.42757961153984,89.29837988689542,124.6498677879572,66.07001926749945,174.80898015201092,103.8133803755045
10,Aston Villa,100.66657504066825,38,228.02988681942225,,70.83127945661545,,172.49739468097687,126.74070522189139,,25.4141166806221,63.94839156419039,160.50528539344668,190.90946167707443,94.93283033370972,83.55026450008154,45.92191129922867,335.31882986426353,,201.83090344071388,89.06054049730301,,121.42677903175354,30.67105058580637,,24.25806000828743,,79.0649002417922,91.41566976904869,,94.10469979047775,,86.29503920674324,109.01890313252807,119.8340393602848,35.165057331323624,51.721351221203804,27.081369981169704,174.6422205120325,54.18226905167103,191.23067520558834,48.06655924767256,114.26453180611134,57.5959999114275,23.39365929365158,28.465410321950912,29.1036793962121,65.66896941512823,246.5138554573059,32.65330083668232
