,Teams,xA av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29*,GW29,GW28,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Liverpool,171.67822088375615,38,295.43122767351554,,92.36113390120164,,153.29436792008278,195.7628444225628,67.23517181310969,147.27460138364276,150.6891406221285,257.55373068472585,217.3208045320938,386.3502575763579,9.782060450657918,52.76854404425593,,,95.23625779224719,347.8878180726836,225.1585130081363,117.15722508285758,280.581623706335,,121.13986104036415,,88.34050761450442,101.23636508203514,,144.62367310660008,,202.7563597670287,161.77515551906214,244.42041734781492,237.86909905425813,104.57275466298543,149.95848252707347,172.7982527709053,95.05485821554181,310.3436712414966,85.79525355118528,197.03862832405437,,87.82918528567043,200.9482195349405,232.27641571984964,150.8544214451198,213.00331855613874,129.29217052951174
2,Man City,165.10410518295546,38,98.71969258443808,216.5905077041057,102.15762429191399,,73.06646303313602,124.14583510897741,286.8511967804277,70.05533034510083,243.91610511665323,,68.22909641927887,161.15313376286662,,246.93543705700026,,,114.37371997769557,162.3545295721472,,113.08001516606735,114.16019650298885,205.3142343624779,233.39563182993254,,51.58184590423139,232.59503632881757,165.42285442280328,75.56786442435425,,159.7976510606447,195.24177524490355,285.51283614821006,137.48688068024848,120.83794807707814,59.016352899237084,112.97952232182816,,81.05695323788396,216.39693621485094,271.487736379725,115.90924696631475,168.72300766985035,233.56746318160464,257.6838701839412,388.8728788561951,136.11451277960245,173.60407435477617
3,Brighton,150.06373969440313,38,126.5248382145289,299.60972187022816,160.79959072320602,77.88356017466359,152.74994203298127,202.90033764820075,106.35450693380234,253.29433867194203,108.20675055906065,,98.69577606894045,162.25213461325487,212.64268553615136,273.4934490767533,,59.8668115120216,95.17060657725794,242.42638233274397,,,205.1118569558331,,269.8745393145345,,124.7402071679183,182.48472914407085,,181.85266526327482,,105.61753806995961,76.28593986193704,88.83448722123535,47.79166978311037,94.70986199509566,222.54735057800187,83.99822182247772,121.42258756848081,232.24216350125224,98.93936547982766,192.7536294261666,,150.23684070173994,38.92720725995689,130.72263954012382,103.80619611081721,192.40861284737693,124.24236622839118
4,Newcastle,147.2394937981013,38,127.99260842678159,,100.4508138879273,327.16945424623424,51.874389137504096,172.77210513576668,,241.74409916321406,111.82475371718223,333.5066783164651,39.357466670103214,108.21581599135341,265.63235905179886,296.55871709568544,132.0976462624694,,164.7184028604195,42.39039086438158,,,162.66838713855148,,34.21029877935514,,119.68225481993011,135.89091179050513,,137.83621898116564,,125.651585646146,213.3164137859653,76.31847092452291,133.92740899952824,97.13752009445331,238.7956878572737,99.97809499313529,74.92756702576416,52.20092666360767,155.32457703890014,316.2495352540404,45.54875589047661,201.73839224381666,54.711885170622615,78.60816331680874,356.08010782589594,20.646548178992678,147.34535108110512
5,Man Utd,144.37408391365102,38,154.12671167050325,305.13404374188605,77.25636390261788,,245.3206487565819,110.53314927831788,138.06060763746808,96.51768033364492,192.96368859771195,,195.13165484615783,272.06650161274683,102.2148781352511,45.410747637695785,,,77.96877197906717,84.09972482535392,,,365.30542908857143,,106.72604910687461,85.79917941136836,71.56263622249068,11.14124633774032,139.10690925983818,328.75977741557347,,225.77052353176336,121.78395795379635,155.82880020216157,193.57486889548073,14.553351214350522,163.2966460835186,71.45458004129554,168.4796861010082,179.180888765354,146.43652506175098,50.08571516108619,,255.46720043499963,100.79641510914269,97.17673531233137,190.0751078581504,55.024324338843854,92.02346285624316
6,Arsenal,144.30404130572683,38,216.23549988302835,,29.617427073001192,,98.16420886203701,170.82700613976118,,136.7809572038158,28.718968362476087,157.04160628442057,174.78693966910902,105.69554696473116,,190.94654235701168,148.2317592366759,,197.28597195076537,139.15750927743022,227.16896710489985,60.176138133078034,248.2423089062073,139.8448938863641,119.41113659878624,,47.58214778976944,216.27504966707266,,193.41514911439205,,117.8801790041408,152.76204493229096,182.66989192338198,141.88877734472078,161.67998014862573,218.96943051173702,132.16781885811577,,58.479523622808664,155.5057771784633,164.39190767325275,134.59221148281048,101.93300990089521,190.9425492196997,167.2554200239069,94.0493085853788,160.7603106606195,102.01969408193551
7,Spurs,116.50952482691415,38,160.34643690424988,,146.04233871043746,,40.22794413288029,127.02871415225076,,138.22624028186564,236.95856596963634,117.20861098482511,161.80335528243188,56.38471176128606,,40.32798000820242,161.74334998250737,,71.0224495593773,79.4509564915102,,95.23736764835012,103.05772568531415,,23.85416779922127,,196.63307705776754,64.6902961358267,120.17841825291293,185.09543824065358,,144.74579952348455,53.05382709792656,75.35358542478089,135.74141541438516,131.70043166327227,147.28283946079958,205.84258801729567,74.29986124768402,130.2344455483665,80.74494704802848,90.49278318950262,139.6578309989737,128.54062361783974,47.992709773831486,113.4022876307752,115.93185092481545,156.52162694048863,130.30434485898053
8,Brentford,112.61224806306599,38,212.13112701507393,,109.99450457479341,,367.25035103999244,12.59054718432612,,33.81757156381287,72.48257112155352,150.64656539304877,68.83225635231462,72.45688425301738,69.8445037144067,136.03888011330938,38.0008960749252,147.65751924092334,147.76443089655325,104.82904646899354,,,49.01504581628296,,273.89180664835067,,196.57322709344263,10.582593702860425,,20.166036284836576,,65.14790956910164,88.40889853088952,172.6239851684182,403.373482826994,36.66466406508089,80.72471557974784,73.03479734557311,87.49533674227575,114.6314296815488,37.96975852129217,66.4389643053127,53.073196431400966,70.64214048772861,175.1477207234854,148.52719319594257,113.44866261929648,112.04220808855754,85.30399796104426
9,Chelsea,105.71052614117386,38,221.51229759426647,186.1266141062212,165.98369144143447,,67.25077814382716,95.19666541758784,,96.9036965673904,124.900484188008,,31.72379770246963,69.15974884098289,196.898704901664,199.65447872264045,68.67095540451102,,142.19030795248813,136.671589541158,,22.959317251271532,119.10165138814068,,66.83928485549595,,72.54498207389322,179.362129382196,,162.20711635370617,119.14022773183702,72.83556749286302,55.15086575468488,141.94428505687273,48.8054769666967,23.737404974583967,98.88927889216083,37.05669479945247,55.358433511320975,69.87964422780453,199.01506373203628,76.58227416339851,,63.86074014914897,78.76510598957006,118.57235345161324,54.08547867270452,192.22866609345627,85.23413987504831
10,Aston Villa,100.37820500556751,38,255.9379645053501,,71.12349084102581,,189.68673151279862,114.86601104842822,,28.674124057037993,49.37627814179983,174.54187440629676,259.46262231676087,77.94607577005073,79.47663057398415,47.51266963120505,277.64497197125576,,206.46436973687892,97.81046348907226,,99.69530932460756,38.61652080631426,,40.231828232080495,,75.20995780784988,80.63264896391826,,77.03490614876848,,78.20981356851559,119.88261878717056,120.32840951439735,39.468831566890614,58.35593107374245,36.805945653601405,189.915119891077,41.83559150762531,197.85500292423598,39.46579550988418,93.53791578332466,50.802209887176204,38.798225501151634,35.83949975507467,29.771817502309183,72.1207428057088,202.3958410870054,27.037028607190223
