assists,goals,h_a,id,key_passes,own_goals,player,Understat_id,position,positionOrder,red_card,roster_in,roster_out,shots,team_id,minutes,creativity,threat,xGBuildup,xGChain,yellow_card,team_h_name,team_a_name,team_name,opponent_team_name,team_h,team_a,team,opponent_team,fixture,round,in_FPL,element
0,0,a,341166,0,0,Tim Krul,982,GK,1,0,0,0,0,79,90,0.0,0.0,0.054997265338897705,0.054997265338897705,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,280
0,0,a,341167,0,0,Maximillian Aarons,7688,DR,2,0,0,0,0,79,90,0.0,0.0,0.4084494411945343,0.4084494411945343,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,274
0,0,a,341169,0,1,Grant Hanley,7690,DC,3,0,0,0,0,79,90,0.0,0.0,0,0,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,277
0,0,a,341168,0,0,Ben Godfrey,7689,DC,3,0,0,0,1,79,90,0.0,0.8998467586934566,0.054997265338897705,0.06399573385715485,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,273
0,0,a,341170,2,0,Jamal Lewis,7691,DL,4,0,0,0,0,79,90,10.757879167795181,0.0,0.16241103410720825,0.2609913647174835,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,276
0,0,a,341172,0,0,Kenny McLean,7693,DMC,7,0,0,0,0,79,90,0.0,0.0,0.3670538365840912,0.3670538365840912,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,286
0,0,a,341171,0,0,Tom Trybull,7692,DMC,7,0,341178,0,1,79,73,0.0,2.154199965298176,0.09957214444875717,0.09957214444875717,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,290
1,0,a,341173,3,0,Emiliano Buendia,2203,AMR,11,0,0,0,2,79,90,38.85958194732666,7.999949902296066,0.05384041741490364,0.46228986978530884,1,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,283
0,0,a,341174,0,0,Marco Stiepermann,7694,AMC,12,0,341177,0,3,79,61,0.0,16.99429154396057,0,0.1699429154396057,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,285
0,0,a,341175,3,0,Todd Cantwell,7695,AML,13,0,0,0,0,79,90,14.388541877269745,0.0,0.1534125655889511,0.24345757067203522,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,287
0,1,a,341176,2,0,Teemu Pukki,7696,FW,15,0,341179,0,3,79,86,11.494564265012741,46.44773006439209,0,0.5794229507446289,0,Liverpool,Norwich,Norwich,Liverpool,10,14,14,10,1,1,1,278
